finalist,year,winner_Nominee,item_award,award_description
Robert L. Angelo,2013,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
Robert L. Angelo,2007,Winner,Daytime Emmy,Outstanding Broadband Program - Comedy
Jeff Ross,2019,Nominee,Primetime Emmy,Outstanding Interactive Program
Jeff Ross,1994,Winner,CableACE,Comedy Special
Jeff Ross,2007,Winner,Daytime Emmy,Outstanding Broadband Program - Comedy
Jeff Ross,1995,Nominee,Gemini,Best Comedy Series
Jeff Ross,2007,Nominee,PGA Award,Outstanding Producer of Variety Television
Ilana Glazer,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Ilana Glazer,2015,Nominee,Critics' Choice TV Award,Best Actress in a Comedy Series
Ilana Glazer,2010,Winner,Judge's Award - July,
Ilana Glazer,2017,Nominee,MTV Movie + TV Award,Best Comedic Performance
Ilana Glazer,2016,Nominee,WGA Award (TV),Comedy Series
Ryan O'Connell,2019,Nominee,Primetime Emmy,Outstanding Short Form Comedy or Drama Series
Ryan O'Connell,2020,Winner,WGA Award (TV),Short Form New Media Original
Abbi Jacobson,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Abbi Jacobson,2010,Winner,Judge's Award - July,
Abbi Jacobson,2017,Nominee,MTV Movie + TV Award,Best Comedic Performance
Abbi Jacobson,2016,Nominee,WGA Award (TV),Comedy Series
Ryan Ulyate,2008,Nominee,Primetime Emmy,"Outstanding Sound Mixing for a Variety, Music Series or a Special"
Louise Fletcher,1976,Winner,Oscar,Best Actress in a Leading Role
Louise Fletcher,1976,Winner,Golden Globe,Best Actress in a Motion Picture - Drama
Louise Fletcher,2004,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Louise Fletcher,1977,Winner,BAFTA Film Award,Best Actress
Louise Fletcher,2007,Nominee,Movies for Grownups Award,Best Grownup Love Story
Louise Fletcher,1988,Nominee,Saturn Award,Best Supporting Actress
Louise Fletcher,2020,Winner,CinEuphoria,Career - Honorary Award
Louise Fletcher,1975,Winner,Golden Train Award,Jury Prize Special Mention
Louise Fletcher,1981,Nominee,Genie,Best Performance by a Foreign Actress
Louise Fletcher,2012,Nominee,Gold Derby TV Award,Drama Guest Actress
Louise Fletcher,1975,Nominee,NYFCC Award,Best Supporting Actress
Louise Fletcher,2012,Winner,OFTA Television Award,Best Guest Actress in a Drama Series
Louise Fletcher,2005,Winner,Legend in Film Award,
Louise Fletcher,1987,Nominee,Razzie Award,Worst Supporting Actress
Louise Fletcher,2016,Winner,Mary Pickford Award,
Patton Oswalt,2020,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
Patton Oswalt,2014,Nominee,American Comedy Award,Comedy Special of the Year
Patton Oswalt,2008,Nominee,Annie,Best Voice Acting in an Animated Feature Production
Patton Oswalt,2016,Nominee,BTVA Television Voice Acting Award,Best Vocal Ensemble in a Television Series
Patton Oswalt,2012,Nominee,Critics Choice Award,Best Supporting Actor
Patton Oswalt,2012,Nominee,COFCA Award,Best Supporting Actor
Patton Oswalt,2011,Nominee,CFCA Award,Best Supporting Actor
Patton Oswalt,2020,Winner,CinEuphoria,Merit - Honorary Award
Patton Oswalt,2013,Winner,Critics' Choice TV Award,Best Guest Performer in a Comedy Series
Patton Oswalt,2011,Nominee,DFCS Award,Best Supporting Actor
Patton Oswalt,2020,Winner,Fall Award,Best Voice Over Performance
Patton Oswalt,2020,Nominee,Jury Prize,Best Actor
Patton Oswalt,2013,Nominee,Gold Derby TV Award,Comedy Guest Actor
Patton Oswalt,2009,Nominee,Gotham Independent Film Award,Breakthrough Actor
Patton Oswalt,2019,Nominee,Grammy,Best Comedy Album
Patton Oswalt,2011,Nominee,LAFCA Award,Best Supporting Actor
Patton Oswalt,2012,Nominee,NSFC Award,Best Supporting Actor
Patton Oswalt,2013,Nominee,OFTA Television Award,Best Guest Actor in a Drama Series
Patton Oswalt,2012,Winner,Chairman's Vanguard Award,
Patton Oswalt,2012,Winner,Virtuoso Award,
Patton Oswalt,2009,Nominee,SLFCA Award,Best Actor
Patton Oswalt,2011,Nominee,TFCA Award,Best Supporting Actor
Patton Oswalt,2011,Nominee,VVFP Award,Best Supporting Actor
Patton Oswalt,2016,Winner,Honorary Membership,
Patton Oswalt,2015,Nominee,WGA Award (TV),"Comedy/Variety - Music, Awards, Tributes - Specials"
Rosamund Pike,2015,Nominee,Oscar,Best Performance by an Actress in a Leading Role
Rosamund Pike,2019,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Rosamund Pike,2019,Winner,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Rosamund Pike,2015,Nominee,BAFTA Film Award,Best Leading Actress
Rosamund Pike,2015,Nominee,AACTA International Award,Best Lead Actress
Rosamund Pike,2018,Nominee,Saturn Award,Best Actress
Rosamund Pike,2015,Nominee,EDA Award,Best Actress
Rosamund Pike,2014,Winner,AFCA Award,Best Actress
Rosamund Pike,2014,Winner,ACCA,Best Actress in a Leading Role
Rosamund Pike,2010,Nominee,British Independent Film Award,Best Supporting Actress
Rosamund Pike,2015,Nominee,Critics Choice Award,Best Actress
Rosamund Pike,2015,Nominee,COFCA Award,Best Actress
Rosamund Pike,2014,Nominee,CFCA Award,Best Actress
Rosamund Pike,2015,Winner,Cinema Bloggers Award,Best Actress - International Competition
Rosamund Pike,2015,Nominee,CinEuphoria,Best Actress - International Competition
Rosamund Pike,2015,Winner,CCOP,Best Actress (Melhor Atriz)
Rosamund Pike,2014,Nominee,DFWFCA Award,Best Actress
Rosamund Pike,2015,Winner,DFCS Award,Best Actress
Rosamund Pike,2014,Winner,DFCS Award,Best Actress
Rosamund Pike,2014,Nominee,DFCC,Best Actress
Rosamund Pike,2015,Winner,Empire Award,Best Actress
Rosamund Pike,2014,Winner,Lost Weekend Award,Best Actress
Rosamund Pike,2014,Winner,FFCC Award,Best Actress
Rosamund Pike,2015,Nominee,Dorian Award,Film Performance of the Year - Actress
Rosamund Pike,2011,Nominee,Genie,Best Performance by an Actress in a Leading Role
Rosamund Pike,2015,Nominee,GAFCA Award,Best Actress
Rosamund Pike,2020,Nominee,Gold Derby Award,Lead Actress of the Decade
Rosamund Pike,2014,Winner,Golden Schmoes,Best Actress of the Year
Rosamund Pike,2014,Nominee,IFJA Award,Best Actress
Rosamund Pike,2014,Nominee,ICP Award,Best Lead Actress
Rosamund Pike,2015,Nominee,INOCA,Best Actress
Rosamund Pike,2015,Nominee,IOFCP Award,Best Actress in a Leading Role
Rosamund Pike,2015,Nominee,IFC Award,Best Actress
Rosamund Pike,2014,Winner,KCFCC Award,Best Actress
Rosamund Pike,2015,Winner,ALFS Award,British Actress of the Year
Rosamund Pike,2015,Nominee,MTV Movie Award,Best Scared-As-S**t Performance
Rosamund Pike,2014,Winner,NFCS Award,Best Actress
Rosamund Pike,2015,Nominee,NCFCA Award,Best Actress
Rosamund Pike,2018,Nominee,NTFCA Award,Best Actress
Rosamund Pike,2015,Winner,OFCC Award,Best Actress
Rosamund Pike,2015,Nominee,OFTA Film Award,Best Actress
Rosamund Pike,2014,Winner,OFCS Award,Best Actress
Rosamund Pike,2015,Winner,Breakthrough Performance Award,
Rosamund Pike,2014,Nominee,PCC Award,Best Actress
Rosamund Pike,2014,Winner,PFCS Award,Best Actress in a Leading Role
Rosamund Pike,2015,Nominee,Georges Award,Best Foreign Villain of the Year
Rosamund Pike,2014,Nominee,SDFCS Award,Best Actress
Rosamund Pike,2015,Winner,Sant Jordi,Best Foreign Actress (Mejor Actriz Extranjera)
Rosamund Pike,2015,Winner,Virtuoso Award,
Rosamund Pike,2019,Nominee,Satellite Award,"Best Actress in a Motion Picture, Drama"
Rosamund Pike,2015,Nominee,Actor,Outstanding Performance by a Female Actor in a Leading Role
Rosamund Pike,2015,Winner,Seattle Film Critics Award,Best Actress
Rosamund Pike,2014,Winner,SLFCA Award,Best Actress
Rosamund Pike,2014,Winner,UFCA Award,Best Actress
Rosamund Pike,2014,Nominee,VVFP Award,Best Actress
Rosamund Pike,2014,Nominee,WAFCA Award,Best Actress
Rosamund Pike,2020,Nominee,WIN Award,Actress Comedy Series
Tovah Feldshuh,2003,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Tovah Feldshuh,2016,Nominee,Saturn Award,Best Supporting Actress on Television
Tovah Feldshuh,2020,Winner,CinEuphoria,Merit - Honorary Award
Tovah Feldshuh,2005,Winner,Best Supporting Actress,Feature Film
Tovah Feldshuh,2019,Nominee,NYC Web Fest Award,Special Guest Star
Tovah Feldshuh,2003,Winner,Golden Satellite Award,"Best Actress in a Supporting Role, Comedy or Musical"
Tovah Feldshuh,2006,Nominee,Stinker Award,Most Annoying Fake Accent: Female
Jef Billings,2004,Winner,Primetime Emmy,Outstanding Costumes for a Variety or Music Program
Jef Billings,2010,Nominee,Daytime Emmy,Outstanding Achievement in Costume Design/Styling
John Cleese,1989,Nominee,Oscar,"Best Writing, Screenplay Written Directly for the Screen"
John Cleese,1989,Nominee,Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical
John Cleese,2004,Nominee,Primetime Emmy,Outstanding Guest Actor in a Comedy Series
John Cleese,1989,Winner,BAFTA Film Award,Best Actor
John Cleese,1991,Winner,TV Prize,Best Foreign TV Personality - Male (Bästa utländska man)
John Cleese,1989,Nominee,American Comedy Award,Funniest Actor in a Motion Picture (Leading Role)
John Cleese,2002,Winner,Sir Peter Ustinov Award,
John Cleese,2012,Nominee,BTVA Feature Film Voice Acting Award,Best Vocal Ensemble in a Feature Film
John Cleese,1989,Winner,David,Best Foreign Screenplay (Migliore Sceneggiatura Straniera)
John Cleese,2001,Nominee,Video Premiere Award,Best Audio Commentary
John Cleese,1989,Nominee,Edgar,Best Motion Picture
John Cleese,1987,Winner,Peter Sellers Award for Comedy,
John Cleese,1989,Nominee,Grammy,Best Spoken Word Album
John Cleese,1976,Nominee,Hugo,Best Dramatic Presentation
John Cleese,1989,Winner,European Silver Ribbon,
John Cleese,2006,Winner,NAVGTR Award,Supporting Performance in a Drama
John Cleese,2003,Nominee,PFCS Award,Best Acting Ensemble
John Cleese,2017,Winner,Honorary Heart of Sarajevo,
John Cleese,2010,Nominee,VGA,Best Performance by a Human Male
John Cleese,2008,Nominee,VES Award,Outstanding Performance by an Animated Character in an Animated Motion Picture
John Cleese,1989,Nominee,WGA Award (Screen),Best Screenplay Written Directly for the Screen
Eileen Brennan,1981,Nominee,Oscar,Best Actress in a Supporting Role
Eileen Brennan,1983,Nominee,Golden Globe,Best Performance by an Actress in a Television Series - Comedy or Musical
Eileen Brennan,2004,Nominee,Primetime Emmy,Outstanding Guest Actress in a Comedy Series
Eileen Brennan,1973,Nominee,BAFTA Film Award,Best Supporting Actress
Eileen Brennan,1985,Nominee,ACE,Actress in a Theatrical or Dramatic Special
Eileen Brennan,1989,Nominee,Razzie Award,Worst Supporting Actress
Jon Stewart,2020,Nominee,Primetime Emmy,Outstanding Variety Talk Series
Jon Stewart,2009,Nominee,BAFTA TV Award,Best International
Jon Stewart,2007,Nominee,Astra Award,Favourite International Personality or Actor
Jon Stewart,2011,Nominee,Daytime Emmy,Outstanding Special Class Special
Jon Stewart,2015,Nominee,Dorian Award,Wilde Wit of the Year
Jon Stewart,2019,Nominee,Gold Derby TV Award,Variety Performer of the Decade
Jon Stewart,2011,Winner,Grammy,"Best Spoken Word Album (includes poetry, audio books & story telling)"
Jon Stewart,2019,Winner,OFTA TV Hall of Fame,Actors and Actresses
Jon Stewart,2005,Nominee,People's Choice Award,Favorite Funny Male Star
Jon Stewart,2020,Nominee,PGA Award,Outstanding Producer of Live Entertainment & Talk Television
Jon Stewart,2014,Nominee,PFCS Award,Breakthrough Performance Behind the Camera
Jon Stewart,2002,Nominee,Teen Choice Award,TV - Choice Personality
Jon Stewart,2011,Nominee,TCA Award,Individual Achievement in Comedy
Jon Stewart,2016,Nominee,WGA Award (TV),Comedy/Variety - Talk Series
Sharon Stone,1996,Nominee,Oscar,Best Actress in a Leading Role
Sharon Stone,2000,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Comedy or Musical
Sharon Stone,2004,Winner,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Sharon Stone,2013,Nominee,Felix,Best Actress
Sharon Stone,2012,Winner,Career Achievement Award,
Sharon Stone,1996,Nominee,Saturn Award,Best Actress
Sharon Stone,1995,Nominee,ACCA,Best Cast Ensemble
Sharon Stone,1992,Nominee,Bravo Otto Germany,Best Actress (Schauspielerin)
Sharon Stone,2007,Nominee,Critics Choice Award,Best Acting Ensemble
Sharon Stone,1996,Nominee,CFCA Award,Best Actress
Sharon Stone,2019,Nominee,CinEuphoria,Best Supporting Actress - International Competition
Sharon Stone,1996,Nominee,DFWFCA Award,Best Actress
Sharon Stone,1996,Nominee,Golden Apple,Female Star of the Year
Sharon Stone,2009,Winner,Outstanding Achievement in Acting,
Sharon Stone,2006,Winner,Hollywood Film Award,Ensemble of the Year
Sharon Stone,2016,Winner,Israel Film Festival Award,Career Achievement Award
Sharon Stone,2005,Winner,Special Prize for Outstanding Contribution to World Cinema,
Sharon Stone,2013,Winner,Honorary Award of the Festival,
Sharon Stone,1996,Nominee,MTV Movie Award,Best Female Performance
Sharon Stone,1999,Nominee,OFTA Film Award,Best Family Actress
Sharon Stone,2005,Winner,Officer of the Order of Arts and Letters,
Sharon Stone,2007,Winner,Razzie Award,Worst Actress
Sharon Stone,2019,Winner,Satellite Award,"Best Actress in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television"
Sharon Stone,2007,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
Sharon Stone,2006,Nominee,Stinker Award,Worst Actress
Sharon Stone,1995,Winner,Star on the Walk of Fame,Motion Picture
Sharon Stone,2013,Nominee,WFCC Award,Worst Female Images in a Movie
Sharon Stone,1995,Winner,Crystal Award,
Sharon Stone,2000,Winner,Lucy Award,
Sharon Stone,2007,Winner,Yoga Award,Worst Foreign Actress
Danny DeVito,2001,Nominee,Oscar,Best Picture
Danny DeVito,1988,Nominee,Golden Globe,Best Performance by an Actor in a Motion Picture - Comedy or Musical
Danny DeVito,2004,Nominee,Primetime Emmy,Outstanding Guest Actor in a Comedy Series
Danny DeVito,2001,Nominee,BAFTA Film Award,Best Film
Danny DeVito,1993,Nominee,Saturn Award,Best Supporting Actor
Danny DeVito,1988,Nominee,American Comedy Award,Funniest Actor in a Motion Picture (Leading Role)
Danny DeVito,1993,Nominee,Golden Berlin Bear,
Danny DeVito,1998,Nominee,Blockbuster Entertainment Award,Favorite Supporting Actor - Drama
Danny DeVito,1985,Nominee,ACE,Actor in a Movie or Miniseries
Danny DeVito,1999,Nominee,Chlotrudis Award,Best Actor
Danny DeVito,1996,Winner,Audience Award,
Danny DeVito,2019,Winner,CinEuphoria,Career - Honorary Award
Danny DeVito,2011,Winner,Critics' Choice Television Icon Award,
Danny DeVito,2017,Winner,Audience Award,Best Short Film
Danny DeVito,2004,Nominee,Gold Derby TV Award,Comedy Guest Actor
Danny DeVito,2010,Winner,Golden Camera for Lifetime Achievement,International
Danny DeVito,2017,Nominee,Holebikort Award,
Danny DeVito,2019,Nominee,IGN Award,Best TV Ensemble
Danny DeVito,2007,Winner,Special Prize for Outstanding Contribution to World Cinema,
Danny DeVito,1993,Nominee,MTV Movie Award,Best Villain
Danny DeVito,2001,Nominee,OFTA Film Award,Best Picture
Danny DeVito,1997,Winner,Starboy Award,
Danny DeVito,2001,Nominee,PGA Award,Outstanding Producer of Theatrical Motion Pictures
Danny DeVito,2007,Nominee,Razzie Award,Worst Supporting Actor
Danny DeVito,2018,Winner,Donostia Lifetime Achievement Award,
Danny DeVito,2008,Nominee,Satellite Award,"Best Actor in a Series, Comedy or Musical"
Danny DeVito,1998,Nominee,Actor,Outstanding Performance by a Cast
Danny DeVito,1989,Winner,ShoWest Award,Male Star of the Year
Danny DeVito,1996,Nominee,Best Film,
Danny DeVito,2006,Nominee,Stinker Award,Worst On-Screen Couple
Danny DeVito,2016,Nominee,Jury Award,Best Narrative Short
Danny DeVito,2007,Winner,Medallion Award,
Danny DeVito,2011,Winner,Star on the Walk of Fame,Television
Jamie Isley,2004,Nominee,Primetime Emmy,Outstanding Choreography
Christopher Dean,2005,Winner,Primetime Emmy,Outstanding Choreography
James Earl Jones,2012,Winner,Honorary Award,
James Earl Jones,1992,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Drama
James Earl Jones,2004,Nominee,Primetime Emmy,Outstanding Guest Actor in a Drama Series
James Earl Jones,2017,Winner,BTVA People's Choice Voice Acting Award,Best Male Vocal Performance in a Feature Film in a Supporting Role
James Earl Jones,2020,Nominee,Black Reel,Outstanding Voice Performance
James Earl Jones,1991,Winner,ACE,Supporting Actor in a Movie or Miniseries
James Earl Jones,2006,Winner,Camie,
James Earl Jones,2011,Winner,Oscar Micheaux Award,
James Earl Jones,2018,Winner,CinEuphoria,Career - Honorary Award
James Earl Jones,2014,Nominee,Critics' Choice TV Award,Best Guest Performer in a Comedy Series
James Earl Jones,2000,Winner,Daytime Emmy,Outstanding Performer in a Children's Special
James Earl Jones,2006,Winner,DVDX Award,Best Supporting Actor (in a DVD Premiere Movie)
James Earl Jones,1988,Nominee,Independent Spirit Award,Best Supporting Male
James Earl Jones,2014,Nominee,Gold Derby TV Award,Comedy Guest Actor
James Earl Jones,1977,Winner,Grammy,Best Spoken Word Recording
James Earl Jones,2020,Winner,Image Award,Outstanding Character Voice-Over Performance (Television or Motion Picture)
James Earl Jones,1995,Winner,Joseph Plateau Life Achievement Award,
James Earl Jones,1995,Winner,KCFCC Award,Best Actor
James Earl Jones,2001,Winner,Lifetime Achievement Award,
James Earl Jones,1995,Winner,Career Achievement Award,
James Earl Jones,2014,Nominee,OFTA Television Award,Best Guest Actor in a Comedy Series
James Earl Jones,2009,Winner,Life Achievement Award,
James Earl Jones,2002,Winner,Kennedy Center Honors,
James Earl Jones,1995,Winner,Master Screen Artist Tribute,
James Earl Jones,1991,Nominee,Q Award,Best Actor in a Quality Drama Series
Anne Heche,2004,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Anne Heche,2005,Nominee,Saturn Award,Best Actress on Television
Anne Heche,2015,Winner,BTVA People's Choice Voice Acting Award,Best Vocal Ensemble in a Television Series - Action/Drama
Anne Heche,1999,Nominee,Blockbuster Entertainment Award,Favorite Actress - Comedy/Romance
Anne Heche,2000,Nominee,Golden Slate,Best Actress in a Leading Role
Anne Heche,1991,Winner,Daytime Emmy,Outstanding Younger Actress in a Drama Series
Anne Heche,1999,Nominee,Chainsaw Award,Best Supporting Actress
Anne Heche,2000,Winner,Stephen F. Kolzak Award,
Anne Heche,1997,Winner,NBR Award,Best Supporting Actress
Anne Heche,2000,Winner,Audience Award,Best Film
Anne Heche,2005,Nominee,Prism Award,Performance in a TV Movie or Miniseries
Anne Heche,1999,Nominee,Razzie Award,Worst Actress
Anne Heche,2019,Winner,Career Achievement Award,
Anne Heche,1998,Nominee,Golden Satellite Award,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical"
Anne Heche,1992,Winner,Soap Opera Digest Award,Outstanding Lead Actress: Daytime
Anne Heche,1998,Nominee,Stinker Award,Worst Actress
Anne Heche,2000,Winner,Lucy Award,
Marlee Matlin,1987,Winner,Oscar,Best Actress in a Leading Role
Marlee Matlin,1993,Nominee,Golden Globe,Best Performance by an Actress in a Television Series - Drama
Marlee Matlin,2004,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Marlee Matlin,1995,Nominee,CableACE,Actress in a Movie or Miniseries
Marlee Matlin,1986,Nominee,LAFCA Award,Best Actress
Marlee Matlin,2000,Nominee,OFTA Television Award,Best Guest Actress in a Drama Series
Marlee Matlin,1996,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
Marlee Matlin,1995,Nominee,Q Award,Specialty Player
Marlee Matlin,2009,Winner,Star on the Walk of Fame,Motion Picture
Patrick Wilson,2016,Nominee,Golden Globe,Best Performance by an Actor in a Limited Series or Motion Picture Made for Television
Patrick Wilson,2004,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
Patrick Wilson,2016,Nominee,Saturn Award,Best Supporting Actor on Television
Patrick Wilson,2006,Nominee,ACCA,Best Cast Ensemble
Patrick Wilson,2016,Nominee,Critics' Choice TV Award,Best Actor in a Movie Made for Television or Limited Series
Patrick Wilson,2014,Nominee,Chainsaw Award,Best Actor
Patrick Wilson,2019,Nominee,Golden Carp Film Award - International,Favorite Actor
Patrick Wilson,2013,Nominee,Fright Meter Award,Best Actor
Patrick Wilson,2016,Nominee,Gold Derby TV Award,TV Movie/Mini Lead Actor
Patrick Wilson,2015,Nominee,IGN Award,Best TV Actor
Patrick Wilson,2003,Winner,OFTA Television Award,Best Supporting Actor in a Motion Picture or Miniseries
Patrick Wilson,2006,Nominee,Satellite Award,"Best Actor in a Motion Picture, Drama"
Patrick Wilson,2011,Nominee,Scream Award,Best Horror Actor
Patrick Wilson,2019,Winner,Time-Machine Honorary Award,
Patrick Wilson,2019,Nominee,Teen Choice Award,Choice Movie Villain
Patrick Wilson,2006,Winner,Young Hollywood Award,Breakthrough Performance - Male
Ben Shenkman,2004,Nominee,Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Ben Shenkman,2004,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
Ben Shenkman,2010,Nominee,Gold Derby TV Award,TV Movie/Mini Supporting Actor of the Decade
Ben Shenkman,2003,Nominee,OFTA Television Award,Best Supporting Actor in a Motion Picture or Miniseries
Justin Kirk,2007,Nominee,Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Justin Kirk,2004,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
Justin Kirk,2016,Nominee,Critics' Choice TV Award,Best Guest Actor/Actress in a Drama Series
Justin Kirk,2010,Winner,Gold Derby TV Award,TV Movie/Mini Supporting Actor of the Decade
Justin Kirk,2007,Nominee,Golden Nymph,Outstanding Actor - Comedy Series
Justin Kirk,2004,Nominee,Grace Award,Most Inspirational Television Acting
Justin Kirk,2009,Nominee,OFTA Television Award,Best Supporting Actor in a Comedy Series
Justin Kirk,2008,Winner,Satellite Award,"Best Actor in a Series, Comedy or Musical"
Justin Kirk,2009,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Julie Andrews,1983,Nominee,Oscar,Best Actress in a Leading Role
Julie Andrews,1987,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Julie Andrews,2005,Winner,Primetime Emmy,Outstanding Nonfiction Series
Julie Andrews,1989,Winner,Special Award,Outstanding British Contribution to Cinema
Julie Andrews,2018,Nominee,BTVA Feature Film Voice Acting Award,Best Vocal Ensemble in a Feature Film
Julie Andrews,2019,Winner,CinEuphoria,Career - Honorary Award
Julie Andrews,1983,Winner,David,Best Foreign Actress (Migliore Attrice Straniera)
Julie Andrews,2018,Nominee,Daytime Emmy,"Outstanding Writing in a Children's, Pre-School Children's or Family Viewing Program"
