finalist,year,winner_Nominee,item_award,award_description
Andrea Allen,2012,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
Imelda Staunton,2005,Nominee,Oscar,Best Performance by an Actress in a Leading Role
Imelda Staunton,2005,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Imelda Staunton,2013,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Imelda Staunton,2015,Nominee,BAFTA Film Award,Best Supporting Actress
Imelda Staunton,2010,Nominee,Movies for Grownups Award,Best Grownup Love Story
Imelda Staunton,2008,Nominee,Saturn Award,Best Supporting Actress
Imelda Staunton,2013,Nominee,Annie,Voice Acting in an Animated Feature Production
Imelda Staunton,2004,Nominee,ACCA,Best Actress in a Leading Role
Imelda Staunton,2013,Nominee,BTVA Feature Film Voice Acting Award,Best Female Vocal Performance in a Feature Film
Imelda Staunton,2014,Winner,British Independent Film Award,Best Supporting Actress
Imelda Staunton,2005,Nominee,Critics Choice Award,Best Actress
Imelda Staunton,2009,Winner,Audience Award,Best Actress - Comedy
Imelda Staunton,2004,Winner,CFCA Award,Best Actress
Imelda Staunton,2015,Nominee,Chlotrudis Award,Best Supporting Actress
Imelda Staunton,2020,Nominee,CinEuphoria,Best Ensemble - International Competition
Imelda Staunton,1987,Winner,Clarence Derwent Award,Best supporting Female (UK)
Imelda Staunton,2013,Nominee,Critics' Choice TV Award,Best Supporting Actress in a Movie/Miniseries
Imelda Staunton,2005,Nominee,DFWFCA Award,Best Actress
Imelda Staunton,2005,Nominee,Empire Award,Best British Actress
Imelda Staunton,2004,Winner,European Film Award,European Actress
Imelda Staunton,2005,Winner,Evening Standard British Film Award,Best Actress
Imelda Staunton,2005,Nominee,Gold Derby Award,Lead Actress
Imelda Staunton,2006,Nominee,Emmy,Best Performance by an Actress
Imelda Staunton,2005,Nominee,INOCA,Best Actress
Imelda Staunton,2005,Winner,IFC Award,Best Actress
Imelda Staunton,2000,Nominee,IFTA Award,Best Actress
Imelda Staunton,2005,Nominee,IOMA,Best Actress (Miglior attrice protagonista)
Imelda Staunton,2008,Nominee,ALFS Award,British Supporting Actress of the Year
Imelda Staunton,2004,Winner,LAFCA Award,Best Actress
Imelda Staunton,2005,Winner,NSFC Award,Best Actress
Imelda Staunton,2004,Winner,NYFCC Award,Best Actress
Imelda Staunton,2004,Winner,NYFCO Award,Best Actress
Imelda Staunton,2013,Nominee,OFTA Television Award,Best Supporting Actress in a Motion Picture or Miniseries
Imelda Staunton,2005,Nominee,OFCS Award,Best Actress
Imelda Staunton,2010,Nominee,SDFCS Award,Best Ensemble Performance
Imelda Staunton,2005,Nominee,Golden Satellite Award,"Best Actress in a Motion Picture, Drama"
Imelda Staunton,2005,Nominee,Actor,Outstanding Performance by a Female Actor in a Leading Role
Imelda Staunton,2004,Winner,Seattle Film Critics Award,Best Actress
Imelda Staunton,2006,Winner,Audience Award,Best Foreign Actress (Melhor Atriz Estrangeira)
Imelda Staunton,2004,Nominee,SEFCA Award,Best Actress
Imelda Staunton,2004,Winner,TFCA Award,"Best Performance, Female"
Imelda Staunton,2004,Nominee,UFCA Award,Best Actress
Imelda Staunton,2005,Winner,VFCC Award,Best Actress
Imelda Staunton,2004,Winner,Volpi Cup,Best Actress
Imelda Staunton,2004,Winner,VVFP Award,Best Performance
Imelda Staunton,2004,Winner,WAFCA Award,Best Actress
Imelda Staunton,2004,Winner,WFCC Award,Best Actress
Lisa Hsia,2013,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
Lisa Hsia,2001,Nominee,Emmy,Outstanding Coverage of a Breaking News Story - Segments
Punam Patel,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Jessica Hecht,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Jessica Hecht,2009,Winner,Special Jury Award,Best Ensemble Acting
Sarah Paulson,2017,Winner,Golden Globe,Best Performance by an Actress in a Limited Series or Motion Picture Made for Television
Sarah Paulson,2018,Nominee,Primetime Emmy,Outstanding Lead Actress in a Limited Series or Movie
Sarah Paulson,2018,Nominee,Saturn Award,Best Actress on Television
Sarah Paulson,2016,Nominee,ACCA TV,Best Actress in a TV Movie or Miniseries
Sarah Paulson,2013,Winner,BFCC Award,Best Ensemble
Sarah Paulson,2016,Nominee,Critics' Choice TV Award,Best Supporting Actress in a Movie Made for Television or Limited Series
Sarah Paulson,2017,Nominee,Chainsaw Award,Best TV Supporting Actress
Sarah Paulson,2014,Winner,Robert Altman Award,
Sarah Paulson,2019,Nominee,Fright Meter Award,Best Supporting Actress
Sarah Paulson,2017,Winner,Dorian Award,TV Performance of the Year - Actress
Sarah Paulson,2020,Nominee,Gold Derby Award,Ensemble of the Decade
Sarah Paulson,2011,Nominee,Gotham Independent Film Award,Best Ensemble Performance
Sarah Paulson,2016,Nominee,IGN Award,Best TV Actress
Sarah Paulson,2016,Nominee,iHorror Award,Best Female Performance - Horror Series
Sarah Paulson,2014,Nominee,Golden Nymph,Outstanding Actress in a Mini-Series
Sarah Paulson,2014,Nominee,NCFCA Award,Best Supporting Actress
Sarah Paulson,2018,Nominee,OFTA Film Award,Best Ensemble
Sarah Paulson,2019,Nominee,People's Choice Award,Favorite Drama Movie Star
Sarah Paulson,2013,Nominee,PFCS Award,Best Acting Ensemble
Sarah Paulson,2017,Winner,Satellite Award,Best Actress in a Miniseries or a Motion Picture Made for Television
Sarah Paulson,2017,Winner,Actor,Outstanding Performance by a Female Actor in a Television Movie or Limited Series
Sarah Paulson,2014,Nominee,Seattle Film Critics Award,Best Ensemble Cast
Sarah Paulson,2016,Winner,TCA Award,Individual Achievement in Drama
Sarah Paulson,2019,Winner,Queerty,Love is Great
Charlotte Rampling,2016,Nominee,Oscar,Best Performance by an Actress in a Leading Role
Charlotte Rampling,2017,Nominee,Golden Globe,Best Performance by an Actress in a Limited Series or Motion Picture Made for Television
Charlotte Rampling,2013,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
Charlotte Rampling,2016,Nominee,Movies for Grownups Award,Best Actress
Charlotte Rampling,2014,Nominee,Saturn Award,Best Guest Performance in a Television Series
Charlotte Rampling,2016,Winner,EDA Special Mention Award,Actress Defying Age and Ageism
Charlotte Rampling,2012,Nominee,AACTA Award,Best Lead Actress
Charlotte Rampling,2012,Nominee,AFCA Award,Best Actress
Charlotte Rampling,2019,Winner,Honorary Golden Berlin Bear,
Charlotte Rampling,2012,Nominee,Bodil,Best Supporting Actress (Bedste kvindelige birolle)
Charlotte Rampling,2015,Winner,BSFC Award,Best Actress
Charlotte Rampling,2015,Nominee,British Independent Film Award,Best Actress
Charlotte Rampling,2016,Nominee,Critics Choice Award,Best Actress
Charlotte Rampling,2015,Nominee,CFCA Award,Best Actress
Charlotte Rampling,2016,Nominee,Chlotrudis Award,Best Actress
Charlotte Rampling,2001,Winner,Special Recognition,
Charlotte Rampling,2006,Nominee,César,Best Supporting Actress (Meilleure actrice dans un second rôle)
Charlotte Rampling,2015,Nominee,DFWFCA Award,Best Actress
Charlotte Rampling,2018,Winner,Dublin Film Critics Award,Best Actress
Charlotte Rampling,2015,Winner,Best Performance in a British Feature Film,
Charlotte Rampling,2015,Winner,Lifetime Achievement Award,
Charlotte Rampling,2016,Nominee,Evening Standard British Film Award,Best Actress
Charlotte Rampling,1988,Winner,International Fantasy Film Award,Best Actress
Charlotte Rampling,2019,Nominee,Golden Carp Film Award - International,Best Performance by an Actress in a Leading Role
Charlotte Rampling,2015,Nominee,FFCC Award,Best Actress
Charlotte Rampling,2016,Nominee,Dorian Award,Film Performance of the Year - Actress
Charlotte Rampling,2016,Nominee,GAFCA Award,Best Actress
Charlotte Rampling,2016,Nominee,Gold Derby Award,Lead Actress
Charlotte Rampling,2010,Nominee,Gotham Independent Film Award,Best Ensemble Performance
Charlotte Rampling,2015,Nominee,IFJA Award,Best Actress
Charlotte Rampling,2015,Winner,ICP Award,Best Lead Actress
Charlotte Rampling,2016,Nominee,ICS Award,Best Actress
Charlotte Rampling,2016,Nominee,INOCA,Best Actress
Charlotte Rampling,2016,Nominee,IFC Award,Best Actress
Charlotte Rampling,2016,Nominee,IFTA Award,Best International Actress
Charlotte Rampling,1987,Winner,Joseph Plateau Award,Best Belgian Actress
Charlotte Rampling,2012,Winner,Excellence Award,
Charlotte Rampling,2016,Winner,ALFS Award,Actress of the Year
Charlotte Rampling,2015,Winner,LAFCA Award,Best Actress
Charlotte Rampling,2016,Winner,NSFC Award,Best Actress
Charlotte Rampling,2016,Nominee,NCFCA Award,Best Actress
Charlotte Rampling,2016,Nominee,OFTA Film Award,Best Actress
Charlotte Rampling,2015,Nominee,OFCS Award,Best Actress
Charlotte Rampling,2015,Nominee,SDFCS Award,Best Actress
Charlotte Rampling,2015,Nominee,SFFCC Award,Best Actress
Charlotte Rampling,2016,Nominee,Sant Jordi,Best Actress in a Foreign Film (Mejor Actriz en Película Extranjera)
Charlotte Rampling,2016,Nominee,Satellite Award,Best Actress in a Motion Picture
Charlotte Rampling,2013,Nominee,Actor,Outstanding Performance by a Female Actor in a Television Movie or Miniseries
Charlotte Rampling,2003,Nominee,Seattle Film Critics Award,Best Actress
Charlotte Rampling,2008,Winner,Lifetime Achievement Award,
Charlotte Rampling,2005,Winner,Taormina Arte Award,
Charlotte Rampling,2005,Winner,Silver Medallion Award,
Charlotte Rampling,2015,Winner,Best Actress,
Charlotte Rampling,2017,Winner,Volpi Cup,Best Actress
Charlotte Rampling,2015,Winner,VVFP Award,Best Actress
Charlotte Rampling,2015,Winner,WFCC Award,Best Screen Couple
Charlotte Rampling,2015,Winner,WFTV Award,Best Performance
Rosamund Pike,2015,Nominee,Oscar,Best Performance by an Actress in a Leading Role
Rosamund Pike,2019,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Rosamund Pike,2019,Winner,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Rosamund Pike,2015,Nominee,BAFTA Film Award,Best Leading Actress
Rosamund Pike,2015,Nominee,AACTA International Award,Best Lead Actress
Rosamund Pike,2018,Nominee,Saturn Award,Best Actress
Rosamund Pike,2015,Nominee,EDA Award,Best Actress
Ryan O'Connell,2019,Nominee,Primetime Emmy,Outstanding Short Form Comedy or Drama Series
Ryan O'Connell,2020,Winner,WGA Award (TV),Short Form New Media Original
Ilana Glazer,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Ilana Glazer,2015,Nominee,Critics' Choice TV Award,Best Actress in a Comedy Series
Ilana Glazer,2010,Winner,Judge's Award - July,
Rosamund Pike,2014,Winner,AFCA Award,Best Actress
Rosamund Pike,2014,Winner,ACCA,Best Actress in a Leading Role
Rosamund Pike,2010,Nominee,British Independent Film Award,Best Supporting Actress
Rosamund Pike,2015,Nominee,Critics Choice Award,Best Actress
Rosamund Pike,2015,Nominee,COFCA Award,Best Actress
Rosamund Pike,2014,Nominee,CFCA Award,Best Actress
Rosamund Pike,2015,Winner,Cinema Bloggers Award,Best Actress - International Competition
Rosamund Pike,2015,Nominee,CinEuphoria,Best Actress - International Competition
Rosamund Pike,2015,Winner,CCOP,Best Actress (Melhor Atriz)
Rosamund Pike,2014,Nominee,DFWFCA Award,Best Actress
Rosamund Pike,2015,Winner,DFCS Award,Best Actress
Rosamund Pike,2014,Winner,DFCS Award,Best Actress
Abbi Jacobson,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
Abbi Jacobson,2010,Winner,Judge's Award - July,
Abbi Jacobson,2017,Nominee,MTV Movie + TV Award,Best Comedic Performance
Abbi Jacobson,2016,Nominee,WGA Award (TV),Comedy Series
Ilana Glazer,2017,Nominee,MTV Movie + TV Award,Best Comedic Performance
Ilana Glazer,2016,Nominee,WGA Award (TV),Comedy Series
Rosamund Pike,2014,Nominee,DFCC,Best Actress
Rosamund Pike,2015,Winner,Empire Award,Best Actress
Rosamund Pike,2014,Winner,Lost Weekend Award,Best Actress
Rosamund Pike,2014,Winner,FFCC Award,Best Actress
Rosamund Pike,2015,Nominee,Dorian Award,Film Performance of the Year - Actress
Rosamund Pike,2011,Nominee,Genie,Best Performance by an Actress in a Leading Role
Rosamund Pike,2015,Nominee,GAFCA Award,Best Actress
Rosamund Pike,2020,Nominee,Gold Derby Award,Lead Actress of the Decade
Rosamund Pike,2014,Winner,Golden Schmoes,Best Actress of the Year
Rosamund Pike,2014,Nominee,IFJA Award,Best Actress
Rosamund Pike,2014,Nominee,ICP Award,Best Lead Actress
Rosamund Pike,2015,Nominee,INOCA,Best Actress
Rosamund Pike,2015,Nominee,IOFCP Award,Best Actress in a Leading Role
Rosamund Pike,2015,Nominee,IFC Award,Best Actress
Rosamund Pike,2014,Winner,KCFCC Award,Best Actress
Rosamund Pike,2015,Winner,ALFS Award,British Actress of the Year
Rosamund Pike,2015,Nominee,MTV Movie Award,Best Scared-As-S**t Performance
Rosamund Pike,2014,Winner,NFCS Award,Best Actress
Rosamund Pike,2015,Nominee,NCFCA Award,Best Actress
Rosamund Pike,2018,Nominee,NTFCA Award,Best Actress
Rosamund Pike,2015,Winner,OFCC Award,Best Actress
Rosamund Pike,2015,Nominee,OFTA Film Award,Best Actress
Rosamund Pike,2014,Winner,OFCS Award,Best Actress
Rosamund Pike,2015,Winner,Breakthrough Performance Award,
Rosamund Pike,2014,Nominee,PCC Award,Best Actress
Rosamund Pike,2014,Winner,PFCS Award,Best Actress in a Leading Role
Rosamund Pike,2015,Nominee,Georges Award,Best Foreign Villain of the Year
Rosamund Pike,2014,Nominee,SDFCS Award,Best Actress
Rosamund Pike,2015,Winner,Sant Jordi,Best Foreign Actress (Mejor Actriz Extranjera)
Rosamund Pike,2015,Winner,Virtuoso Award,
Rosamund Pike,2019,Nominee,Satellite Award,"Best Actress in a Motion Picture, Drama"
Rosamund Pike,2015,Nominee,Actor,Outstanding Performance by a Female Actor in a Leading Role
Rosamund Pike,2015,Winner,Seattle Film Critics Award,Best Actress
Rosamund Pike,2014,Winner,SLFCA Award,Best Actress
Rosamund Pike,2014,Winner,UFCA Award,Best Actress
Rosamund Pike,2014,Nominee,VVFP Award,Best Actress
Rosamund Pike,2014,Nominee,WAFCA Award,Best Actress
Rosamund Pike,2020,Nominee,WIN Award,Actress Comedy Series
Patton Oswalt,2020,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
Patton Oswalt,2014,Nominee,American Comedy Award,Comedy Special of the Year
Patton Oswalt,2008,Nominee,Annie,Best Voice Acting in an Animated Feature Production
Patton Oswalt,2016,Nominee,BTVA Television Voice Acting Award,Best Vocal Ensemble in a Television Series
Patton Oswalt,2012,Nominee,Critics Choice Award,Best Supporting Actor
Patton Oswalt,2012,Nominee,COFCA Award,Best Supporting Actor
Patton Oswalt,2011,Nominee,CFCA Award,Best Supporting Actor
Patton Oswalt,2020,Winner,CinEuphoria,Merit - Honorary Award
Patton Oswalt,2013,Winner,Critics' Choice TV Award,Best Guest Performer in a Comedy Series
Patton Oswalt,2011,Nominee,DFCS Award,Best Supporting Actor
Patton Oswalt,2020,Winner,Fall Award,Best Voice Over Performance
Patton Oswalt,2020,Nominee,Jury Prize,Best Actor
Patton Oswalt,2013,Nominee,Gold Derby TV Award,Comedy Guest Actor
Patton Oswalt,2009,Nominee,Gotham Independent Film Award,Breakthrough Actor
Patton Oswalt,2019,Nominee,Grammy,Best Comedy Album
Patton Oswalt,2011,Nominee,LAFCA Award,Best Supporting Actor
Patton Oswalt,2012,Nominee,NSFC Award,Best Supporting Actor
Patton Oswalt,2013,Nominee,OFTA Television Award,Best Guest Actor in a Drama Series
Patton Oswalt,2012,Winner,Chairman's Vanguard Award,
Patton Oswalt,2012,Winner,Virtuoso Award,
Patton Oswalt,2009,Nominee,SLFCA Award,Best Actor
Patton Oswalt,2011,Nominee,TFCA Award,Best Supporting Actor
Patton Oswalt,2011,Nominee,VVFP Award,Best Supporting Actor
Patton Oswalt,2016,Winner,Honorary Membership,
Patton Oswalt,2015,Nominee,WGA Award (TV),"Comedy/Variety - Music, Awards, Tributes - Specials"
Chris Cooper,2003,Winner,Oscar,Best Actor in a Supporting Role
Chris Cooper,2003,Winner,Golden Globe,Best Performance by an Actor in a Supporting Role in a Motion Picture
Chris Cooper,2003,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
Chris Cooper,2003,Nominee,BAFTA Film Award,Best Performance by an Actor in a Supporting Role
Chris Cooper,2014,Winner,Movies for Grownups Award,Best Supporting Actor
Chris Cooper,2015,Winner,Extraordinary Contribution to Filmmaking Award,
Chris Cooper,2005,Nominee,ACCA,Best Cast Ensemble
Chris Cooper,2003,Winner,Critics Choice Award,Best Supporting Actor
Chris Cooper,2013,Winner,Capri Lifetime Achievement Award,
Chris Cooper,2003,Winner,COFCA Award,Best Supporting Actor
Chris Cooper,2003,Nominee,CFCA Award,Best Supporting Actor
Chris Cooper,2003,Winner,Audience Award,Best Supporting Actor
Chris Cooper,2010,Nominee,DFWFCA Award,Best Supporting Actor
Chris Cooper,2003,Nominee,DVDX Award,Best Supporting Actor in a DVD Premiere Movie
Chris Cooper,1997,Nominee,Independent Spirit Award,Best Male Lead
Chris Cooper,2003,Winner,FFCC Award,Best Supporting Actor
Chris Cooper,2020,Nominee,Gold Derby Award,Ensemble Cast
Chris Cooper,2002,Nominee,Golden Schmoes,Best Supporting Actor of the Year
Chris Cooper,2013,Winner,Hollywood Film Award,Ensemble of the Year
Chris Cooper,2003,Winner,INOCA,Best Supporting Actor
Chris Cooper,2003,Nominee,IOMA,Best Supporting Actor (Miglior attore non protagonista)
Chris Cooper,2002,Winner,KCFCC Award,Best Supporting Actor
Chris Cooper,2002,Nominee,Sierra Award,Best Supporting Actor
Chris Cooper,1996,Winner,Lone Star Film & Television Award,Best Actor
Chris Cooper,2002,Winner,LAFCA Award,Best Supporting Actor
Chris Cooper,2010,Winner,NBR Award,Best Acting by an Ensemble
Chris Cooper,2003,Nominee,NSFC Award,Best Supporting Actor
Chris Cooper,2013,Winner,NFCS Award,Best Ensemble Cast
Chris Cooper,2002,Nominee,NYFCC Award,Best Supporting Actor
Chris Cooper,2020,Nominee,OFTA Film Award,Best Ensemble
Chris Cooper,2003,Nominee,OFCS Award,Best Supporting Actor
Chris Cooper,2013,Nominee,PFCS Award,Best Acting Ensemble
Chris Cooper,2002,Winner,SDFCS Award,Best Supporting Actor
Chris Cooper,2002,Winner,SFFCC Award,Best Supporting Actor
Chris Cooper,2004,Winner,Peter J. Owens Award,
Chris Cooper,2005,Nominee,Satellite Award,"Outstanding Actor in a Supporting Role, Drama"
Chris Cooper,2014,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
Chris Cooper,2014,Nominee,Seattle Film Critics Award,Best Ensemble Cast
Chris Cooper,2002,Winner,SEFCA Award,Best Supporting Actor
Chris Cooper,1999,Nominee,Teen Choice Award,Film - Choice Sleazebag
Chris Cooper,2002,Winner,TFCA Award,"Best Supporting Performance, Male"
Chris Cooper,2002,Winner,UFCA Award,Best Supporting Actor
Chris Cooper,2003,Winner,VFCC Award,Best Supporting Actor
Chris Cooper,2007,Nominee,VVFP Award,Best Actor
Chris Cooper,2013,Nominee,WAFCA Award,Best Acting Ensemble
Chris Cooper,1992,Winner,Bronze Wrangler,Theatrical Motion Picture
James Whitmore,1976,Nominee,Oscar,Best Actor in a Leading Role
James Whitmore,1976,Nominee,Golden Globe,Best Actor in a Motion Picture - Drama
James Whitmore,2003,Nominee,Primetime Emmy,Outstanding Guest Actor in a Drama Series
James Whitmore,1994,Nominee,ACCA,Best Cast Ensemble
James Whitmore,1990,Winner,ACE,Supporting Actor in a Movie or Miniseries
James Whitmore,2001,Nominee,Genie,Best Performance by an Actor in a Leading Role
James Whitmore,1976,Winner,Grammy,Best Spoken Word Album
James Whitmore,2000,Nominee,OFTA Television Award,Best Guest Actor in a Drama Series
James Whitmore,1960,Winner,Star on the Walk of Fame,Television
James Whitmore,1976,Winner,Bronze Wrangler,Factual Television Program
Ed Begley Jr.,1986,Nominee,Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
Ed Begley Jr.,2019,Nominee,Primetime Emmy,Outstanding Actor in a Short Form Comedy or Drama Series
Ed Begley Jr.,2014,Nominee,EMA Award,Digital Video
Ed Begley Jr.,2004,Winner,FFCC Award,Best Ensemble Cast
Ed Begley Jr.,2004,Nominee,Gold Derby Award,Ensemble Cast
Danny Thomas,1971,Nominee,Golden Globe,Best TV Actor - Comedy or Musical
Ed Begley Jr.,2004,Nominee,PFCS Award,Best Ensemble Acting
Ed Begley Jr.,2010,Winner,Streamy Award,Best Ensemble Cast in a Web Series
Danny Thomas,2004,Winner,Bob Hope Humanitarian Award,
Danny Thomas,1970,Winner,Louella Parsons Award,
Danny Thomas,2019,Winner,OFTA TV Hall of Fame,Behind the Scenes
Danny Thomas,2007,Winner,TV Land Award,"The ""Hey! It's...!"" Award (Favorite Cameo or Guest Star)"
Danny Thomas,1960,Winner,Star on the Walk of Fame,Television
Tovah Feldshuh,2003,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Tovah Feldshuh,2016,Nominee,Saturn Award,Best Supporting Actress on Television
Tovah Feldshuh,2020,Winner,CinEuphoria,Merit - Honorary Award
Tovah Feldshuh,2005,Winner,Best Supporting Actress,Feature Film
Tovah Feldshuh,2019,Nominee,NYC Web Fest Award,Special Guest Star
Tovah Feldshuh,2003,Winner,Golden Satellite Award,"Best Actress in a Supporting Role, Comedy or Musical"
Tovah Feldshuh,2006,Nominee,Stinker Award,Most Annoying Fake Accent: Female
Betty Garrett,1975,Winner,Golden Globe,Best Supporting Actress - Television
Betty Garrett,2003,Nominee,Primetime Emmy,Outstanding Guest Actress in a Comedy Series
Betty Garrett,2003,Winner,Star on the Walk of Fame,Live Performance
Barbara Barrie,1980,Nominee,Oscar,Best Actress in a Supporting Role
Barbara Barrie,2003,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
Barbara Barrie,1964,Winner,Best Actress,
Barbara Barrie,2000,Nominee,Independent Spirit Award,Best Supporting Female
Barbara Barrie,1980,Nominee,NSFC Award,Best Supporting Actress
Barbara Barrie,1979,Nominee,NYFCC Award,Best Supporting Actress
Barbara Barrie,2001,Nominee,OFTA Television Award,Best Guest Actress in a Drama Series
Charles S. Dutton,1996,Nominee,Golden Globe,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television
Charles S. Dutton,2003,Winner,Primetime Emmy,Outstanding Guest Actor in a Drama Series
Charles S. Dutton,1993,Nominee,Saturn Award,Best Supporting Actor
Charles S. Dutton,2016,Nominee,Black Reel,"Outstanding Supporting Actor, TV Movie or Limited Series"
Charles S. Dutton,2017,Nominee,Festival Prize,Best Actor Horror
Charles S. Dutton,2007,Nominee,DGA Award,Outstanding Directorial Achievement in Movies for Television
Charles S. Dutton,1992,Nominee,Chainsaw Award,Best Supporting Actor
Charles S. Dutton,2000,Nominee,Independent Spirit Award,Best Supporting Male
Charles S. Dutton,2006,Nominee,Gold Derby TV Award,Drama Guest Actor
Charles S. Dutton,2015,Nominee,Image Award,"Outstanding Actor in a Television Movie, Mini-Series or Dramatic Special"
Charles S. Dutton,1999,Winner,Grand Jury Award,Outstanding Actor in a Feature Film
Charles S. Dutton,2003,Winner,OFTA Television Award,Best Guest Actor in a Drama Series
