award_title,years,finalist,winner,groups
Outstanding Comedy Series,2020 Awards,Curb Your Enthusiasm,,"Larry David, (executive producer),, ,Jeff Garlin, (executive producer),, ,Jeff Schaffer, (executive producer),, ,Gavin Polone, (executive producer),, ,Laura Streicher, (producer),, ,Mychelle Deschamps, (produced by)"
Outstanding Comedy Series,2020 Awards,Dead to Me,,"Liz Feldman, (executive producer),, ,Will Ferrell, (executive producer),, ,Adam McKay, (executive producer),, ,Jessica Elbaum, (executive producer),, ,Christina Applegate, (executive producer),, ,Christie Smith, (executive producer),, ,Linda Cardellini, (co-executive producer),, ,Cara DiPaolo, (co-executive producer),, ,Jessi Klein, (co-executive producer),, ,Elizabeth Benjamin, (co-executive producer),, ,Dan Dietz, (co-executive producer),, ,Joe Hardesty, (co-executive producer),, ,Buddy Enright, (producer),, ,Denise Pleune, (producer)"
Outstanding Comedy Series,2020 Awards,Insecure,,"Issa Rae, (executive producer),, ,Prentice Penny, (executive producer),, ,Melina Matsoukas, (executive producer),, ,Dave Becky, (executive producer),, ,Jonathan Berry, (executive producer),, ,Amy Aniobi, (executive producer),, ,Jim Kleverweis, (executive producer),, ,Phil Augusta Jackson, (co-executive producer),, ,Laura Kittrell, (co-executive producer),, ,Deniese Davis, (supervising producer),, ,Natasha Rothwell, (supervising producer)"
Outstanding Comedy Series,2020 Awards,The Good Place,,"Michael Schur, (executive producer),, ,David Miner, (executive producer),, ,Morgan Sackett, (executive producer),, ,Drew Goddard, (executive producer),, ,Dylan Morgan, (co-executive producer),, ,Josh Siegal, (co-executive producer),, ,Joe Mande, (co-executive producer),, ,Megan Amram, (co-executive producer),, ,Jen Statsky, (co-executive producer),, ,Dave King, (co-executive producer),, ,David Hyman, (produced by),, ,Matt Murray, (consulting producer)"
Outstanding Comedy Series,2020 Awards,The Kominsky Method,,"Chuck Lorre, (executive producer),, ,Alan J. Higgins, (executive producer),, ,Michael Douglas, (executive producer),, ,Andy Tennant, (producer),, ,Beth McCarthy-Miller, (producer),, ,Marlis Pujol, (produced by)"
Outstanding Comedy Series,2020 Awards,The Marvelous Mrs. Maisel,,"Amy Sherman-Palladino, (executive producer),, ,Daniel Palladino, (executive producer),, ,Dhana Rivera Gilbert, (co-executive producer),, ,Matthew Shapiro, (producer),, ,Daniel Goldfarb, (producer),, ,Kate Fodor, (producer),, ,Sono Patel, (producer)"
Outstanding Comedy Series,2020 Awards,What We Do in the Shadows,,"Jemaine Clement, (executive producer),, ,Taika Waititi, (executive producer),, ,Paul Simms, (executive producer),, ,Scott Rudin, (executive producer),, ,Garrett Basch, (executive producer),, ,Eli Bush, (executive producer),, ,Stefani Robinson, (executive producer),, ,Sam Johnson, (co-executive producer),, ,Derek Rappaport, (produced by)"
Outstanding Limited Series,2020 Awards,Watchmen,Winner,"Damon Lindelof, (executive producer),, ,Tom Spezialy, (executive producer),, ,Nicole Kassell, (executive producer),, ,Stephen Williams, (executive producer),, ,Joseph E. Iberti, (executive producer),, ,Ron Schmidt, (co-executive producer),, ,Carly Wray, (co-executive producer),, ,Lila Byock, (supervising producer),, ,Nick Cuse, (supervising producer),, ,Christal Henry, (supervising producer),, ,Karen Wacker, (producer),, ,John Blair, (producer)"
Outstanding Limited Series,2020 Awards,Little Fires Everywhere,,"Reese Witherspoon, (executive producer),, ,Lauren Levy Neustadter, (executive producer),, ,Kerry Washington, (executive producer),, ,Pilar Savone, (executive producer),, ,Liz Tigelaar, (executive producer),, ,Lynn Shelton, (executive producer),, ,Merri D. Howard, (co-executive producer),, ,Nancy Won, (co-executive producer),, ,Attica Locke, (co-executive producer),, ,Raamla Mohamed, (co-executive producer),, ,Amy Talkington, (co-executive producer),, ,Harris Danow, (producer),, ,Rosa Handelman, (producer),, ,Shannon Houston, (producer),, ,Celeste Ng, (producer)"
Outstanding Limited Series,2020 Awards,Mrs. America,,"Dahvi Waller, (executive producer),, ,Stacey Sher, (executive producer),, ,Coco Francini, (executive producer),, ,Cate Blanchett, (executive producer),, ,Anna Boden, (executive producer),, ,Ryan Fleck, (executive producer),, ,Micah Schraft, (co-executive producer),, ,James W. Skotchdopole, (co-executive producer),, ,Tanya Barfield, (producer),, ,Boo Killebrew, (producer)"
Outstanding Limited Series,2020 Awards,Unbelievable,,"Susannah Grant, (executive producer),, ,Carl Beverly, (executive producer),, ,Lisa Cholodenko, (executive producer),, ,Ayelet Waldman, (executive producer),, ,Michael Chabon, (executive producer),, ,Katie Couric, (executive producer),, ,Richard Tofel, (executive producer),, ,Neil Barsky, (executive producer),, ,Robyn Semien, (executive producer),, ,Jennifer Schuur, (co-executive producer),, ,Becky Mode, (co-executive producer),, ,T. Christian Miller, (producer),, ,Ken Armstrong, (producer),, ,Katie DiMento, (producer),, ,Chris Leanza, (producer),, ,John E. Vohlers, (producer)"
Outstanding Limited Series,2020 Awards,Unorthodox,,"Anna Winger, (executive producer),, ,Henning Kamm, (executive producer),, ,Alexa Karolinski, (producer)"
Outstanding Television Movie,2020 Awards,Bad Education,Winner,"Leonid Lebedev, (executive producer),, ,Caroline Jaczko, (executive producer),, ,Fred Berger, (produced by),, ,Eddie Vaisman, (produced by),, ,Julia Lebedev, (produced by),, ,Oren Moverman, (produced by),, ,Brian Kavanaugh-Jones, (produced by),, ,Mike Makowsky, (produced by)"
Outstanding Television Movie,2020 Awards,American Son,,"Kerry Washington, (executive producer),, ,Pilar Savone, (executive producer),, ,Jeffrey Richards, (executive producer),, ,Rebecca Gold, (executive producer),, ,Kenny Leon, (produced by),, ,Kristin Bernstein, (produced by)"
Outstanding Television Movie,2020 Awards,Dolly Parton's Heartstrings,,"Patrick Sean Smith, (executive producer),, ,Sam Haskell, (executive producer),, ,Dolly Parton, (executive producer),, ,Joe Lazarov, (co-executive producer),, ,Lisa Melamed, (co-executive producer),, ,Hudson Hickman, (co-executive producer)"
Outstanding Television Movie,2020 Awards,El Camino: A Breaking Bad Movie,,"Diane Mercer, (executive producer),, ,Mark Johnson, (produced by),, ,Melissa Bernstein, (produced by),, ,Charles Newirth, (produced by),, ,Vince Gilligan, (produced by),, ,Aaron Paul, (produced by)"
Outstanding Television Movie,2020 Awards,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,,"Robert Carlock, (executive producer),, ,Tina Fey, (executive producer),, ,Jeff Richmond, (executive producer),, ,David Miner, (executive producer),, ,Sam Means, (executive producer),, ,Meredith Scardino, (executive producer),, ,Eric Gurian, (co-executive producer),, ,Kerry Orent, (producer)"
Outstanding Lead Actor in a Drama Series,2020 Awards,Jeremy Strong,Winner,Succession
Outstanding Lead Actor in a Drama Series,2020 Awards,Billy Porter,,Pose
Outstanding Lead Actor in a Drama Series,2020 Awards,Brian Cox,,Succession
Outstanding Lead Actor in a Drama Series,2020 Awards,Jason Bateman,,Ozark
Outstanding Lead Actor in a Drama Series,2020 Awards,Sterling K. Brown,,This Is Us
Outstanding Lead Actor in a Drama Series,2020 Awards,Steve Carell,,The Morning Show
Outstanding Lead Actress in a Drama Series,2020 Awards,Zendaya,Winner,Euphoria
Outstanding Lead Actress in a Drama Series,2020 Awards,Jennifer Aniston,,The Morning Show
Outstanding Lead Actress in a Drama Series,2020 Awards,Jodie Comer,,Killing Eve
Outstanding Lead Actress in a Drama Series,2020 Awards,Laura Linney,,Ozark
Outstanding Lead Actress in a Drama Series,2020 Awards,Olivia Colman,,The Crown
Outstanding Lead Actress in a Drama Series,2020 Awards,Sandra Oh,,Killing Eve
Outstanding Lead Actor in a Comedy Series,2020 Awards,Eugene Levy,Winner,Schitt's Creek
Outstanding Lead Actor in a Comedy Series,2020 Awards,Anthony Anderson,,Black-ish
Outstanding Lead Actor in a Comedy Series,2020 Awards,Don Cheadle,,Black Monday
Outstanding Lead Actor in a Comedy Series,2020 Awards,Michael Douglas,,The Kominsky Method
Outstanding Lead Actor in a Comedy Series,2020 Awards,Ramy Youssef,,Ramy
Outstanding Lead Actor in a Comedy Series,2020 Awards,Ted Danson,,The Good Place
Outstanding Lead Actress in a Comedy Series,2020 Awards,Catherine O'Hara,Winner,Schitt's Creek
Outstanding Lead Actress in a Comedy Series,2020 Awards,Christina Applegate,,Dead to Me
Outstanding Lead Actress in a Comedy Series,2020 Awards,Issa Rae,,Insecure
Outstanding Lead Actress in a Comedy Series,2020 Awards,Linda Cardellini,,Dead to Me
Outstanding Lead Actress in a Comedy Series,2020 Awards,Rachel Brosnahan,,The Marvelous Mrs. Maisel
Outstanding Lead Actress in a Comedy Series,2020 Awards,Tracee Ellis Ross,,Black-ish
Outstanding Lead Actor in a Limited Series or Movie,2020 Awards,Mark Ruffalo,Winner,I Know This Much Is True
Outstanding Lead Actor in a Limited Series or Movie,2020 Awards,Hugh Jackman,,Bad Education
Outstanding Lead Actor in a Limited Series or Movie,2020 Awards,Jeremy Irons,,Watchmen
Outstanding Lead Actor in a Limited Series or Movie,2020 Awards,Jeremy Pope,,Hollywood
Outstanding Lead Actor in a Limited Series or Movie,2020 Awards,Paul Mescal,,Normal People
Outstanding Lead Actress in a Limited Series or Movie,2020 Awards,Regina King,Winner,Watchmen
Outstanding Lead Actress in a Limited Series or Movie,2020 Awards,Cate Blanchett,,Mrs. America
Outstanding Lead Actress in a Limited Series or Movie,2020 Awards,Kerry Washington,,Little Fires Everywhere
Outstanding Lead Actress in a Limited Series or Movie,2020 Awards,Octavia Spencer,,Self Made: Inspired by the Life of Madam C.J. Walker
Outstanding Lead Actress in a Limited Series or Movie,2020 Awards,Shira Haas,,Unorthodox
Outstanding Supporting Actor in a Drama Series,2020 Awards,Billy Crudup,Winner,The Morning Show
Outstanding Supporting Actor in a Drama Series,2020 Awards,Bradley Whitford,,The Handmaid's Tale
Outstanding Supporting Actor in a Drama Series,2020 Awards,Giancarlo Esposito,,Better Call Saul
Outstanding Supporting Actor in a Drama Series,2020 Awards,Jeffrey Wright,,Westworld
Outstanding Supporting Actor in a Drama Series,2020 Awards,Kieran Culkin,,Succession
Outstanding Supporting Actor in a Drama Series,2020 Awards,Mark Duplass,,The Morning Show
Outstanding Supporting Actor in a Drama Series,2020 Awards,Matthew Macfadyen,,Succession
Outstanding Supporting Actor in a Drama Series,2020 Awards,Nicholas Braun,,Succession
Outstanding Supporting Actress in a Drama Series,2020 Awards,Julia Garner,Winner,Ozark
Outstanding Supporting Actress in a Drama Series,2020 Awards,Fiona Shaw,,Killing Eve
Outstanding Supporting Actress in a Drama Series,2020 Awards,Helena Bonham Carter,,The Crown
Outstanding Supporting Actress in a Drama Series,2020 Awards,Laura Dern,,Big Little Lies
Outstanding Supporting Actress in a Drama Series,2020 Awards,Meryl Streep,,Big Little Lies
Outstanding Supporting Actress in a Drama Series,2020 Awards,Samira Wiley,,The Handmaid's Tale
Outstanding Supporting Actress in a Drama Series,2020 Awards,Sarah Snook,,Succession
Outstanding Supporting Actress in a Drama Series,2020 Awards,Thandie Newton,,Westworld
Outstanding Supporting Actor in a Comedy Series,2020 Awards,Dan Levy,Winner,Schitt's Creek
Outstanding Supporting Actor in a Comedy Series,2020 Awards,Alan Arkin,,The Kominsky Method
Outstanding Supporting Actor in a Comedy Series,2020 Awards,Andre Braugher,,Brooklyn Nine-Nine
Outstanding Supporting Actor in a Comedy Series,2020 Awards,Kenan Thompson,,Saturday Night Live
Outstanding Supporting Actor in a Comedy Series,2020 Awards,Mahershala Ali,,Ramy
Outstanding Supporting Actor in a Comedy Series,2020 Awards,Sterling K. Brown,,The Marvelous Mrs. Maisel
Outstanding Supporting Actor in a Comedy Series,2020 Awards,Tony Shalhoub,,The Marvelous Mrs. Maisel
Outstanding Supporting Actor in a Comedy Series,2020 Awards,William Jackson Harper,,The Good Place
Outstanding Supporting Actress in a Comedy Series,2020 Awards,Annie Murphy,Winner,Schitt's Creek
Outstanding Supporting Actress in a Comedy Series,2020 Awards,Alex Borstein,,The Marvelous Mrs. Maisel
Outstanding Supporting Actress in a Comedy Series,2020 Awards,Betty Gilpin,,GLOW
Outstanding Supporting Actress in a Comedy Series,2020 Awards,Cecily Strong,,Saturday Night Live
Outstanding Supporting Actress in a Comedy Series,2020 Awards,D'Arcy Carden,,The Good Place
Outstanding Supporting Actress in a Comedy Series,2020 Awards,Kate McKinnon,,Saturday Night Live
Outstanding Supporting Actress in a Comedy Series,2020 Awards,Marin Hinkle,,The Marvelous Mrs. Maisel
Outstanding Supporting Actress in a Comedy Series,2020 Awards,Yvonne Orji,,Insecure
Outstanding Supporting Actor in a Limited Series or Movie,2020 Awards,Yahya Abdul-Mateen II,Winner,Watchmen
Outstanding Supporting Actor in a Limited Series or Movie,2020 Awards,Dylan McDermott,,Hollywood
Outstanding Supporting Actor in a Limited Series or Movie,2020 Awards,Jim Parsons,,Hollywood
Outstanding Supporting Actor in a Limited Series or Movie,2020 Awards,Jovan Adepo,,Watchmen
Outstanding Supporting Actor in a Limited Series or Movie,2020 Awards,Louis Gossett Jr.,,Watchmen
Outstanding Supporting Actor in a Limited Series or Movie,2020 Awards,Tituss Burgess,,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend
Outstanding Supporting Actress in a Limited Series or Movie,2020 Awards,Uzo Aduba,Winner,Mrs. America
Outstanding Supporting Actress in a Limited Series or Movie,2020 Awards,Holland Taylor,,Hollywood
Outstanding Supporting Actress in a Limited Series or Movie,2020 Awards,Jean Smart,,Watchmen
Outstanding Supporting Actress in a Limited Series or Movie,2020 Awards,Margo Martindale,,Mrs. America
Outstanding Supporting Actress in a Limited Series or Movie,2020 Awards,Toni Collette,,Unbelievable
Outstanding Supporting Actress in a Limited Series or Movie,2020 Awards,Tracey Ullman,,Mrs. America
Outstanding Guest Actor in a Drama Series,2020 Awards,Ron Cephas Jones,Winner,This Is Us
Outstanding Guest Actor in a Drama Series,2020 Awards,Andrew Scott,,Black Mirror
Outstanding Guest Actor in a Drama Series,2020 Awards,Giancarlo Esposito,,The Mandalorian
Outstanding Guest Actor in a Drama Series,2020 Awards,James Cromwell,,Succession
Outstanding Guest Actor in a Drama Series,2020 Awards,Jason Bateman,,The Outsider
Outstanding Guest Actor in a Drama Series,2020 Awards,Martin Short,,The Morning Show
Outstanding Guest Actress in a Drama Series,2020 Awards,Cherry Jones,Winner,Succession
Outstanding Guest Actress in a Drama Series,2020 Awards,Alexis Bledel,,The Handmaid's Tale
Outstanding Guest Actress in a Drama Series,2020 Awards,Cicely Tyson,,How to Get Away with Murder
Outstanding Guest Actress in a Drama Series,2020 Awards,Harriet Walter,,Succession
Outstanding Guest Actress in a Drama Series,2020 Awards,Laverne Cox,,Orange Is the New Black
Outstanding Guest Actress in a Drama Series,2020 Awards,Phylicia Rashad,,This Is Us
Outstanding Guest Actor in a Comedy Series,2020 Awards,Eddie Murphy,Winner,Saturday Night Live
Outstanding Guest Actor in a Comedy Series,2020 Awards,Adam Driver,,Saturday Night Live
Outstanding Guest Actor in a Comedy Series,2020 Awards,Brad Pitt,,Saturday Night Live
Outstanding Guest Actor in a Comedy Series,2020 Awards,Dev Patel,,Modern Love
Outstanding Guest Actor in a Comedy Series,2020 Awards,Fred Willard,,Modern Family
Outstanding Guest Actor in a Comedy Series,2020 Awards,Luke Kirby,,The Marvelous Mrs. Maisel
Outstanding Guest Actress in a Comedy Series,2020 Awards,Maya Rudolph,Winner,Saturday Night Live
Outstanding Guest Actress in a Comedy Series,2020 Awards,Angela Bassett,,A Black Lady Sketch Show
Outstanding Guest Actress in a Comedy Series,2020 Awards,Bette Midler,,The Politician
Outstanding Guest Actress in a Comedy Series,2020 Awards,Maya Rudolph,,The Good Place
Outstanding Guest Actress in a Comedy Series,2020 Awards,Phoebe Waller-Bridge,,Saturday Night Live
Outstanding Guest Actress in a Comedy Series,2020 Awards,Wanda Sykes,,The Marvelous Mrs. Maisel
Outstanding Variety Talk Series,2020 Awards,Last Week Tonight with John Oliver,Winner,"John Oliver, (executive producer),, ,Tim Carvell, (executive producer),, ,Liz Stanton, (executive producer),, ,Jeremy Tchaban, (supervising producer),, ,Christopher Werner, (supervising producer),, ,Laura L. Griffin, (producer),, ,Kate Mullaney, (producer),, ,Matt Passet, (producer),, ,Marian Wang, (producer),, ,Charles Wilson, (producer)"
Outstanding Variety Talk Series,2020 Awards,Full Frontal with Samantha Bee,,"Jason Jones, (executive producer),, ,Samantha Bee, (executive producer),, ,Tony Hernandez, (executive producer),, ,Alison Camillo, (executive producer),, ,Miles Kahn, (executive producer),, ,Pat King, (executive producer),, ,Allana Harkin, (co-executive producer),, ,Kim Burdges, (producer),, ,Julia Fought, (producer),, ,Christopher Savage, (producer),, ,Kristen Bartlett, (producer),, ,Mike Drucker, (producer),, ,Razan Ghalayini, (producer),, ,Todd G. Bieber, (producer),, ,Mike Rubens, (producer)"
Outstanding Variety Talk Series,2020 Awards,Jimmy Kimmel Live!,,"Jimmy Kimmel, (executive producer),, ,Jill Leiderman, (executive producer),, ,Doug DeLuca, (co-executive producer),, ,Erin Irwin, (co-executive producer),, ,David Craig, (co-executive producer),, ,Molly McNearney, (co-executive producer),, ,Jennifer Sharron, (co-executive producer),, ,Gary Greenberg, (supervising producer),, ,Tony Romero, (supervising producer),, ,Josh Weintraub, (supervising producer),, ,Seth Weidner, (supervising producer),, ,Danny Ricker, (producer),, ,Ken Crosby, (producer)"
Outstanding Variety Talk Series,2020 Awards,The Daily Show,,"Trevor Noah, (executive producer),, ,Jennifer Flanz, (executive producer),, ,Jill Katz, (executive producer),, ,Justin Melkmann, (co-executive producer),, ,Max Browning, (supervising producer),, ,Eric Davies, (supervising producer),, ,Pamela DePace, (supervising producer),, ,Ramin Hedayati, (supervising producer),, ,David Kibuuka, (supervising producer),, ,Zhubin Parang, (supervising producer),, ,Elise Terrell, (supervising producer),, ,David Paul Meyer, (supervising producer),, ,Jocelyn Conn, (producer),, ,Beth Shorr, (producer),, ,Shawna Shepherd, (producer)"
Outstanding Variety Talk Series,2020 Awards,The Late Show with Stephen Colbert,,"Stephen Colbert, (executive producer),, ,Chris Licht, (executive producer),, ,Tom Purcell, (executive producer),, ,Jon Stewart, (executive producer),, ,Barry Julien, (co-executive producer),, ,Denise C. Rehrig, (co-executive producer),, ,Aaron Cohen, (supervising producer),, ,Matt Lappin, (supervising producer),, ,Tanya Michnevich, (supervising producer),, ,Paul Dinello, (supervising producer),, ,Emily Gertler, (supervising producer),, ,Jay Katsir, (supervising producer),, ,Opus Moreschi, (supervising producer),, ,Sara Vilkomerson, (supervising producer),, ,Jake Plunkett, (producer),, ,Michael Brumm, (producer),, ,Paige Kendig, (producer),, ,Bjoern C. Stejskal, (producer),, ,Adam Wager, (producer)"
Outstanding Host for a Reality or Reality-Competition Program,2020 Awards,RuPaul's Drag Race,Winner,RuPaul
Outstanding Host for a Reality or Reality-Competition Program,2020 Awards,Making It,,"Amy Poehler,, ,Nick Offerman"
Outstanding Host for a Reality or Reality-Competition Program,2020 Awards,Nailed It!,,Nicole Byer
Outstanding Host for a Reality or Reality-Competition Program,2020 Awards,Queer Eye,,"Karamo Brown,, ,Bobby Berk,, ,Tan France,, ,Antoni Porowski,, ,Jonathan Van Ness"
Outstanding Host for a Reality or Reality-Competition Program,2020 Awards,Shark Tank,,"Barbara Corcoran,, ,Mark Cuban,, ,Lori Greiner,, ,Daymond John,, ,Robert Herjavec,, ,Kevin O'Leary"
Outstanding Host for a Reality or Reality-Competition Program,2020 Awards,Top Chef,,"Padma Lakshmi,, ,Tom Colicchio"
Outstanding Directing for a Drama Series,2020 Awards,Succession,Winner,Andrij Parekh
Outstanding Directing for a Drama Series,2020 Awards,Homeland,,Lesli Linka Glatter
Outstanding Directing for a Drama Series,2020 Awards,Ozark,,Benjamin Semanoff
Outstanding Directing for a Drama Series,2020 Awards,Ozark,,Alik Sakharov
Outstanding Directing for a Drama Series,2020 Awards,Succession,,Mark Mylod
Outstanding Directing for a Drama Series,2020 Awards,The Crown,,Jessica Hobbs
Outstanding Directing for a Drama Series,2020 Awards,The Crown,,Benjamin Caron
Outstanding Directing for a Drama Series,2020 Awards,The Morning Show,,Mimi Leder
Outstanding Directing for a Comedy Series,2020 Awards,Schitt's Creek,Winner,"Andrew Cividino,, ,Dan Levy"
Outstanding Directing for a Comedy Series,2020 Awards,Modern Family,,Gail Mancuso
Outstanding Directing for a Comedy Series,2020 Awards,Ramy,,Ramy Youssef
Outstanding Directing for a Comedy Series,2020 Awards,The Great,,Matt Shakman
Outstanding Directing for a Comedy Series,2020 Awards,The Marvelous Mrs. Maisel,,Amy Sherman-Palladino
Outstanding Directing for a Comedy Series,2020 Awards,The Marvelous Mrs. Maisel,,Daniel Palladino
Outstanding Directing for a Comedy Series,2020 Awards,Will & Grace,,James Burrows
"Outstanding Directing for a Limited Series, Movie or Dramatic Special",2020 Awards,Unorthodox,Winner,Maria Schrader
"Outstanding Directing for a Limited Series, Movie or Dramatic Special",2020 Awards,Little Fires Everywhere,,Lynn Shelton
"Outstanding Directing for a Limited Series, Movie or Dramatic Special",2020 Awards,Normal People,,Lenny Abrahamson
"Outstanding Directing for a Limited Series, Movie or Dramatic Special",2020 Awards,Watchmen,,Stephen Williams
"Outstanding Directing for a Limited Series, Movie or Dramatic Special",2020 Awards,Watchmen,,Steph Green
"Outstanding Directing for a Limited Series, Movie or Dramatic Special",2020 Awards,Watchmen,,Nicole Kassell
Outstanding Writing for a Drama Series,2020 Awards,Succession,Winner,Jesse Armstrong
Outstanding Writing for a Drama Series,2020 Awards,Better Call Saul,,Gordon Smith
Outstanding Writing for a Drama Series,2020 Awards,Better Call Saul,,Thomas Schnauz
Outstanding Writing for a Drama Series,2020 Awards,Ozark,,Chris Mundy
Outstanding Writing for a Drama Series,2020 Awards,Ozark,,Miki Johnson
Outstanding Writing for a Drama Series,2020 Awards,Ozark,,John Shiban
Outstanding Writing for a Drama Series,2020 Awards,The Crown,,Peter Morgan
Outstanding Writing for a Comedy Series,2020 Awards,Schitt's Creek,Winner,Dan Levy
Outstanding Writing for a Comedy Series,2020 Awards,Schitt's Creek,,David West Read
Outstanding Writing for a Comedy Series,2020 Awards,The Good Place,,Michael Schur
Outstanding Writing for a Comedy Series,2020 Awards,The Great,,Tony McNamara
Outstanding Writing for a Comedy Series,2020 Awards,What We Do in the Shadows,,Stefani Robinson
Outstanding Writing for a Comedy Series,2020 Awards,What We Do in the Shadows,,Paul Simms
Outstanding Writing for a Comedy Series,2020 Awards,What We Do in the Shadows,,"Sam Johnson,, ,Chris Marcil"
"Outstanding Writing for a Limited Series, Movie or Dramatic Special",2020 Awards,Watchmen,Winner,"Damon Lindelof,, ,Cord Jefferson"
"Outstanding Writing for a Limited Series, Movie or Dramatic Special",2020 Awards,Mrs. America,,Tanya Barfield
"Outstanding Writing for a Limited Series, Movie or Dramatic Special",2020 Awards,Normal People,,"Sally Rooney,, ,Alice Birch"
"Outstanding Writing for a Limited Series, Movie or Dramatic Special",2020 Awards,Unbelievable,,"Susannah Grant,, ,Michael Chabon,, ,Ayelet Waldman"
"Outstanding Writing for a Limited Series, Movie or Dramatic Special",2020 Awards,Unorthodox,,Anna Winger
Outstanding Variety Sketch Series,2020 Awards,Saturday Night Live,Winner,"Lorne Michaels, (executive producer),, ,Ken Aymong, (supervising producer),, ,Lindsay Shookus, (producer),, ,Erin Doyle, (producer),, ,Tom Broecker, (producer),, ,Steve Higgins, (producer),, ,Erik Kenward, (produced by)"
Outstanding Variety Sketch Series,2020 Awards,A Black Lady Sketch Show,,"Robin Thede, (executive producer),, ,Issa Rae, (executive producer),, ,Tony Hernandez, (executive producer),, ,Brooke Posch, (executive producer),, ,Dave Becky, (executive producer),, ,Jonathan Berry, (executive producer),, ,Lauren Ashley Smith, (co-executive producer),, ,Dime Davis, (co-executive producer),, ,Deniese Davis, (producer),, ,Montrel McKay, (producer),, ,John Skidmore, (producer),, ,Erin Owens, (produced by)"
