finalist,year,winner_Nominee,item_award,award_description
Mahershala Ali,2019,Nominee,Satellite Award,Best Actor in a Supporting Role
Mahershala Ali,2016,Winner,Discovery Award,
Mahershala Ali,2020,Nominee,Actor,Outstanding Performance by a Male Actor in a Television Movie or Limited Series
Mahershala Ali,2018,Nominee,Seattle Film Critics Award,Best Supporting Actor
Mahershala Ali,2018,Nominee,SEFCA Award,Best Supporting Actor
Mahershala Ali,2018,Nominee,SLFCA Award,Best Supporting Actor
Mahershala Ali,2016,Winner,TFCA Award,Best Supporting Actor
Mahershala Ali,2016,Winner,UFCA Award,Best Supporting Actor
Mahershala Ali,2018,Nominee,VFCC Award,Best Supporting Actor
Mahershala Ali,2016,Winner,VVFP Award,Best Supporting Actor
Mahershala Ali,2018,Winner,WAFCA Award,Best Supporting Actor
Tony Shalhoub,2009,Nominee,Golden Globe,Best Performance by an Actor in a Television Series - Comedy or Musical
Tony Shalhoub,2020,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series
Tony Shalhoub,2002,Nominee,AFI Award,Featured Actor of the Year - Male - Movies
Tony Shalhoub,2019,Nominee,Critics Choice Award,Best Supporting Actor in a Comedy Series
Tony Shalhoub,2002,Nominee,CFCA Award,Best Supporting Actor
Tony Shalhoub,1997,Nominee,Chlotrudis Award,Best Actor
Tony Shalhoub,2019,Winner,Daytime Emmy,Outstanding Musical Performance in a Daytime Program
Tony Shalhoub,2006,Winner,Family Television Award,Best Actor
Tony Shalhoub,1997,Nominee,Independent Spirit Award,Best Male Lead
Tony Shalhoub,2020,Nominee,Gold Derby TV Award,Comedy Supporting Actor
Tony Shalhoub,2009,Nominee,Grammy,Best Spoken Word Album for Children
Tony Shalhoub,2018,Winner,Golden Nymph,Outstanding Actor in a Comedy TV Series
Tony Shalhoub,1997,Winner,NSFC Award,Best Supporting Actor
Tony Shalhoub,1996,Nominee,NYFCC Award,Best Supporting Actor
Tony Shalhoub,2002,Winner,Best of the Fest,
Tony Shalhoub,2020,Nominee,OFTA Television Award,Best Supporting Actor in a Comedy Series
Tony Shalhoub,2002,Nominee,OFCS Award,Best Supporting Actor
Tony Shalhoub,2010,Winner,Prism Award,Performance in a Comedy Series
Tony Shalhoub,2002,Winner,Independent Voice Award,
Tony Shalhoub,2019,Nominee,Satellite Award,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television"
Tony Shalhoub,2020,Winner,Actor,Outstanding Performance by a Male Actor in a Comedy Series
Tony Shalhoub,2002,Winner,Audience Award,Narrative First Film
Tony Shalhoub,2002,Nominee,Taos Land Grant Award,
Tony Shalhoub,2003,Nominee,TCA Award,Individual Achievement in Comedy
Thandie Newton,2019,Nominee,Golden Globe,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television"
Thandie Newton,2020,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Drama Series
Thandie Newton,2018,Nominee,BAFTA TV Award,Best Leading Actress
Thandie Newton,2017,Nominee,Saturn Award,Best Supporting Actress on Television
Thandie Newton,2005,Winner,ACCA,Best Cast Ensemble
Thandie Newton,2006,Nominee,BET Award,Best Actress
Thandie Newton,2005,Nominee,Black Movie Award,Outstanding Performance by an Actress in a Supporting Role
Thandie Newton,2011,Nominee,Black Reel,Best Actress
Thandie Newton,2020,Winner,Black Reel,"Outstanding Supporting Actress, Drama Series"
Thandie Newton,2001,Nominee,Blockbuster Entertainment Award,Favorite Female - Newcomer
Thandie Newton,2019,Winner,Critics Choice Award,Best Supporting Actress in a Drama Series
Thandie Newton,2020,Nominee,CinEuphoria,Best Ensemble - International Competition
Thandie Newton,2016,Winner,Critics' Choice TV Award,Best Supporting Actress in a Drama Series
Thandie Newton,2006,Winner,Empire Award,Best Actress
Thandie Newton,2017,Nominee,Dorian Award,TV Performance of the Year - Actress
Thandie Newton,2019,Nominee,Gold Derby TV Award,Drama Supporting Actress of the Decade
Thandie Newton,2005,Nominee,Golden Schmoes,Best Supporting Actress of the Year
Thandie Newton,2005,Nominee,Gotham Independent Film Award,Best Ensemble Performance
Thandie Newton,2005,Winner,Hollywood Film Award,Ensemble of the Year
Thandie Newton,2016,Winner,IGN Award,Best TV Actress
Thandie Newton,2019,Nominee,Image Award,Outstanding Supporting Actress in a Drama Series
Thandie Newton,2006,Nominee,INOCA,Best Supporting Actress
Thandie Newton,2006,Nominee,IOMA,Best Supporting Actress (Miglior attrice non protagonista)
Thandie Newton,2006,Winner,ALFS Award,British Supporting Actress of the Year
Thandie Newton,2020,Nominee,OFTA Television Award,Best Supporting Actress in a Drama Series
Thandie Newton,2001,Nominee,Razzie Award,Worst Supporting Actress
Thandie Newton,1999,Nominee,Golden Satellite Award,"Best Actress in a Supporting Role in a Motion Picture, Drama"
Thandie Newton,2017,Nominee,Actor,Outstanding Performance by an Ensemble in a Drama Series
Van Jones,2020,Winner,Primetime Emmy,Outstanding Original Interactive Program
Van Jones,2019,Winner,Advanced Imaging Society Lumiere Award,Social Justice Award
Van Jones,2017,Winner,Webby Award,Special Achievement
Elijah Allan-Blitz,2020,Winner,Primetime Emmy,Outstanding Original Interactive Program
Elijah Allan-Blitz,2019,Winner,Advanced Imaging Society Lumiere Award,Social Justice Award
Dan Levy,2020,Winner,Primetime Emmy,Outstanding Comedy Series
Dan Levy,2020,Nominee,Critics Choice Award,Best Supporting Actor in a Comedy Series
Dan Levy,2020,Winner,Radius Award,
Dan Levy,2020,Winner,Outstanding Directorial Achievement,Comedy Series
Dan Levy,2020,Winner,Dorian TV Award,Wilde Wit of the Year
Dan Levy,2019,Winner,Davidson/Valentini Award,
Dan Levy,2020,Winner,Gold Derby TV Award,Comedy Supporting Actor
Dan Levy,2019,Nominee,IGN Award,Best TV Ensemble
Dan Levy,2019,Winner,MTV Movie + TV Award,Best Comedic Performance
Dan Levy,2020,Winner,OFTA Television Award,Best Supporting Actor in a Comedy Series
Dan Levy,2020,Nominee,PGA Award,"Outstanding Producer of Episodic Television, Comedy"
Dan Levy,2020,Nominee,Actor,Outstanding Performance by an Ensemble in a Comedy Series
Dan Levy,2020,Winner,Queerty,TV Performance
Dan Levy,2020,Nominee,WGC Award,TV Comedy
Jana Carter,2020,Winner,Primetime Emmy,Outstanding Original Interactive Program
Jana Carter,2019,Winner,Advanced Imaging Society Lumiere Award,Social Justice Award
Jana Carter,2017,Winner,Webby Award,"Online Film & Video: News & Politics, Series"
Alan Arkin,2013,Nominee,Oscar,Best Performance by an Actor in a Supporting Role
Alan Arkin,2020,Nominee,Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television"
Alan Arkin,2020,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Comedy Series
Alan Arkin,2013,Nominee,BAFTA Film Award,Best Supporting Actor
Alan Arkin,2007,Winner,Career Achievement Award,
Alan Arkin,1992,Nominee,Saturn Award,Best Supporting Actor
Alan Arkin,2013,Nominee,EDA Award,Best Supporting Actor
Alan Arkin,2012,Nominee,ACCA,Best Cast Ensemble
Alan Arkin,2002,Winner,BSFC Award,Best Supporting Actor
Alan Arkin,2015,Winner,Career Achievement Award,
Alan Arkin,2013,Nominee,Critics Choice Award,Best Supporting Actor
Alan Arkin,1994,Nominee,CableACE,Actor in a Movie or Miniseries
Alan Arkin,2013,Nominee,COFCA Award,Best Supporting Actor
Alan Arkin,2003,Winner,Chlotrudis Award,Best Supporting Actor
Alan Arkin,2013,Nominee,Cinema Bloggers Award,Best Supporting Actor - International Competition
Alan Arkin,2015,Winner,CinemaCon Award,Lifetime Achievement Award
Alan Arkin,2012,Nominee,DFWFCA Award,Best Supporting Actor
Alan Arkin,2006,Nominee,DFCC,Best Supporting Actor
Alan Arkin,2007,Winner,Independent Spirit Award,Best Supporting Male
Alan Arkin,2003,Winner,FFCC Award,Best Ensemble Cast
Alan Arkin,1986,Winner,Genie,Best Performance by an Actor in a Supporting Role
Alan Arkin,2013,Nominee,Gold Derby Award,Ensemble Cast
Alan Arkin,2006,Nominee,Golden Schmoes,Best Supporting Actor of the Year
Alan Arkin,2006,Nominee,Gotham Independent Film Award,Best Ensemble Performance
Alan Arkin,2012,Winner,Hollywood Film Award,Ensemble of the Year
Alan Arkin,2013,Nominee,HFCS Award,Best Supporting Actor
Alan Arkin,2013,Nominee,IFC Award,Best Supporting Actor
Alan Arkin,2007,Nominee,IOMA,Best Supporting Actor (Miglior attore non protagonista)
Alan Arkin,1969,Winner,KCFCC Award,Best Actor
Alan Arkin,1971,Nominee,Golden Laurel,"Best Dramatic Performance, Male"
Alan Arkin,2013,Nominee,ALFS Award,Supporting Actor of the Year
Alan Arkin,2007,Nominee,NSFC Award,Best Supporting Actor
Alan Arkin,1975,Winner,NYFCC Award,Best Supporting Actor
Alan Arkin,2013,Nominee,OFTA Film Award,Best Supporting Actor
Alan Arkin,2013,Nominee,OFCS Award,Best Supporting Actor
Alan Arkin,2013,Winner,Ensemble Cast Award,
Alan Arkin,2012,Nominee,PFCS Award,Best Ensemble Acting
Alan Arkin,2007,Nominee,Prism Award,Performance in a Feature Film
Alan Arkin,2012,Nominee,SDFCS Award,Best Supporting Actor
Alan Arkin,2019,Nominee,Satellite Award,"Best Actor in a Supporting Role in a Series, Miniseries & Limited Series or a Motion Picture Made for Television"
Alan Arkin,2020,Nominee,Actor,Outstanding Performance by a Male Actor in a Comedy Series
Alan Arkin,2012,Nominee,SLFCA Award,Best Supporting Actor
Alan Arkin,1981,Nominee,Stinker Award,Worst On-Screen Couple
Alan Arkin,1992,Winner,Best Actor,
Alan Arkin,2007,Winner,VFCC Award,Best Supporting Actor
Alan Arkin,2019,Winner,Star on the Walk of Fame,Motion Picture
Alan Arkin,2012,Nominee,WAFCA Award,Best Supporting Actor
Brie Larson,2016,Winner,Oscar,Best Performance by an Actress in a Leading Role
Brie Larson,2016,Winner,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
Brie Larson,2020,Winner,Primetime Emmy,Outstanding Original Interactive Program
Brie Larson,2016,Winner,BAFTA Film Award,Best Leading Actress
Brie Larson,2016,Nominee,AACTA International Award,Best Lead Actress
Brie Larson,2019,Nominee,Saturn Award,Best Actress
Brie Larson,2016,Nominee,EDA Female Focus Award,Best Breakthrough Performance
Brie Larson,2015,Winner,AFCA Award,Best Actress
Brie Larson,2015,Winner,ACCA,Best Actress in a Leading Role
Brie Larson,2015,Winner,BFCC Award,Best Actress
Brie Larson,2016,Winner,Critics Choice Award,Best Actress
Brie Larson,2016,Winner,Canadian Screen Award,Performance by an Actress in a Leading Role
Brie Larson,2015,Winner,Capri Actress Award,
Brie Larson,2016,Winner,COFCA Award,Best Actress
Brie Larson,2015,Winner,CFCA Award,Best Actress
Brie Larson,2014,Winner,Chlotrudis Award,Best Actress
Brie Larson,2016,Winner,CinEuphoria,Best Actress - International Competition
Brie Larson,2015,Winner,DFWFCA Award,Best Actress
Brie Larson,2016,Winner,DFCS Award,Best Actress
Brie Larson,2015,Nominee,DFCS Award,Best Actress
Brie Larson,2016,Nominee,DFCC,Best Actress
Brie Larson,2006,Nominee,DVDX Award,Best Original Music Video
Brie Larson,2018,Nominee,Audience Award,
Brie Larson,2016,Nominee,Empire Award,Best Actress
Brie Larson,2016,Winner,Independent Spirit Award,Best Female Lead
Brie Larson,2015,Winner,FFCC Award,Best Actress
Brie Larson,2016,Nominee,Dorian Award,Film Performance of the Year - Actress
Brie Larson,2016,Winner,GAFCA Award,Best Actress
Brie Larson,2020,Nominee,Gold Derby Award,Lead Actress of the Decade
Brie Larson,2019,Nominee,Golden Schmoes,Best T&A of the Year
Brie Larson,2015,Nominee,Gotham Independent Film Award,Best Actress
Brie Larson,2013,Winner,Breakthrough Performer,
Brie Larson,2016,Winner,HFCS Award,Best Actress
Brie Larson,2015,Winner,STARmeter Award,
Brie Larson,2015,Winner,IFJA Award,Best Actress
Brie Larson,2015,Nominee,ICP Award,Best Lead Actress
Brie Larson,2014,Nominee,INOCA,Best Actress
Brie Larson,2015,Winner,IFCS Award,Best Actress
Brie Larson,2016,Winner,IFC Award,Best Actress
Brie Larson,2016,Winner,IFTA Award,Best International Actress
Brie Larson,2020,Nominee,Blimp Award,Favorite Movie Actress
Brie Larson,2015,Winner,Sierra Award,Best Actress
Brie Larson,2013,Winner,Best Actress,
Brie Larson,2016,Nominee,ALFS Award,Actress of the Year
Brie Larson,2018,Winner,Trailblazer Award,
Brie Larson,2013,Winner,Rising Star Award,
Brie Larson,2019,Winner,MTV Movie + TV Award,Best Fight
Brie Larson,2015,Winner,NBR Award,Best Actress
Brie Larson,2015,Winner,NFCS Award,Best Actress
Brie Larson,2015,Winner,NYFCO Award,Best Actress
Brie Larson,2016,Nominee,NCFCA Award,Best Actress
Brie Larson,2016,Winner,NTFCA Award,Best Actress
Brie Larson,2016,Winner,OFCC Award,Best Actress
Brie Larson,2016,Winner,OFTA Film Award,Best Actress
Brie Larson,2015,Nominee,OFCS Award,Best Actress
Brie Larson,2016,Winner,Breakthrough Performance Award,
Brie Larson,2019,Nominee,People's Choice Award,Favorite Female Movie Star
Brie Larson,2015,Winner,PCC Award,Best Actress
Brie Larson,2015,Winner,PFCS Award,Best Actress in a Leading Role
Brie Larson,2015,Winner,SDFCS Award,Best Actress
Brie Larson,2015,Nominee,SFFCC Award,Best Actress
Brie Larson,2016,Winner,Outstanding Performer of the Year Award,
Brie Larson,2016,Nominee,Satellite Award,Best Actress in a Motion Picture
Brie Larson,2016,Winner,Actor,Outstanding Performance by a Female Actor in a Leading Role
Brie Larson,2016,Nominee,Seattle Film Critics Award,Best Actress
Brie Larson,2013,Nominee,Golden Space Needle Award,Best Actress
Brie Larson,2020,Nominee,Shorty Award,Best Actor
Brie Larson,2015,Winner,SEFCA Award,Best Actress
Brie Larson,2015,Winner,SLFCA Award,Best Actress
Brie Larson,2012,Winner,Short Film Special Jury Prize,
