rating_total,rating_avg,finalist,movie_description,cast,language,style,country,company,film_location
"6,023",5.0,Days of Our Lives (TV Series 1965– ) - IMDb,"
                    A chronicle of the lives, loves, trials and tribulations of the citizens of the fictional city of Salem.
            "," Frances Reid
, John Clarke
, Deidre Hall
, Macdonald Carey
, Josh Taylor
, John Aniston
, Suzanne Rogers
, Kristian Alfonso
, Matthew Ashford
, Bryan Dattilo
, Susan Seaforth Hayes
, Drake Hogestyn
, Bill Hayes
, Lauren Koslow
, Peter Reckell
, Alison Sweeney
, Joseph Mascolo
, Melissa Reeves
, Thaao Penghlis
, James Reynolds
, Arianne Zucker
, James Scott
, Stephen Nichols
, Eric Martsolf
, Galen Gering
",USA,"[' Drama', ' ', None, None, None]",USA, Corday Productions,"Boone Hall Plantation - 1235 Long Point Road, Mount Pleasant, South Carolina, USA"
"2,154",7.1,That Girl (TV Series 1966–1971) - IMDb,"
                    An aspiring actress moves from her hometown of Brewster, New York, to try to make it big in New York City, having to take several offbeat ""temp"" jobs to support herself in between her various auditions and bit parts.
            "," Marlo Thomas
, Ted Bessell
, Lew Parker
",English,"[' Comedy', ' ', None, None, None]",English, Daisy Productions,
,,"""NET Journal"" Appalachia: Rich Land, Poor People (TV Episode 1968) - IMDb","
                    NET attacked what seems to be a continuing subject for telementaries, poverty in the coal mining regions of the southeast.
            ",,IMDbPro,"[' Documentary', ' Drama', None, None, None]",,IMDbPro,
224,7.8,He & She (TV Series 1967–1968) - IMDb,"
                    Dick and Paula Hollister are a witty, sophisticated couple living in New York City. Dick is a comic-book artist who has become well-known for creating a superhero called Jetman, which has ...
                    "," Paula Prentiss
, Richard Benjamin
, Jack Cassidy
, Kenneth Mars
, Hamilton Camp
",English,"[' Comedy', ' Romance', None, None, None]",English, Talent Associates,
"3,841",8.0,Dark Shadows (TV Series 1966–1971) - IMDb,"
                    The rich Collins family of Collinsport, Maine is tormented by strange occurrences.
            "," Jonathan Frid
, Grayson Hall
, Alexandra Isles
, Nancy Barrett
, Joan Bennett
, Louis Edmonds
, David Selby
, Kathryn Leigh Scott
, David Henesy
, Lara Parker
",USA," Drama, , Horror, Mystery, Romance",USA, Dan Curtis Productions,USA
,,...And Debbie Makes Six (1968) - IMDb,"
                    Debbie Reynolds stars in her own hour of music and comedy.
            "," Bobby Darin
, Frank Gorshin
, Bob Hope
, Jim Nabors
, Donald O'Connor
, Debbie Reynolds
, Nelson Riddle
",English,"[' Comedy', ' Music', None, None, None]",English,IMDbPro,
174,7.5,Insight (TV Series 1960–1984) - IMDb,"
                    American Roman Catholic religious-themed anthology shedding light on the contemporary search for meaning, freedom, and love.
            "," Ellwood Kieser
",USA,"[' Drama', ' ', None, None, None]",USA, Paulist Productions,"CBS Television City - 7800 Beverly Boulevard, Fairfax, Los Angeles, California, USA"
32,8.5,TCB (1968) - IMDb,"
                    The two top Motown groups, Diana Ross and The Supremes, and The Temptations sing their greatest hits of the 60s plus some unforgettable standards. Although a clear showcase for Diana Ross talents, the best parts are those by the groups.
            "," Diana Ross
, Mary Wilson
, Cindy Birdsong
, Otis Williams
, Eddie Kendricks
, Paul Williams
, Melvin Franklin
, Dennis Edwards
",English,"[' Musical', None, None, None, None]",English, George Schlatter-Ed Friendly Productions, George Schlatter-Ed Friendly Productions
34,7.5,Carol Channing and Pearl Bailey: On Broadway (TV Movie 1969) - IMDb,"
                    A one night only performance by two theatrical legends.
            "," Carol Channing
, Pearl Bailey
",English,"[' Musical', None, None, None, None]",English, Lowe/Ilson/Chambers Productions, Lowe/Ilson/Chambers Productions
105,7.6,Concentration (TV Series 1958–1973) - IMDb,"
                    Two contestants revealed pieces of a rebus-like puzzle by matching 15 pairs of cash amounts and prizes, then tried to solve it before the other.
            "," Hugh Downs
",English,"[' Game-Show', ' ', None, None, None]",English, Jack Barry-Dan Enright Productions,
,,80th Tournament of Roses Parade (1969) - IMDb,"
                    "," Mike Douglas
, Bess Myerson
, The Rutgers University Marching Band
, USC Trojan Marching Band
",English,"[' ', ' ', None, None, None]",English,IMDbPro,
37,8.0,The 22nd Annual Tony Awards (1968) - IMDb,"
                    Tony Award is the popular name of award, annually awarded for achievements in area of the American theatre, including a musical theatre. Complete official name of bonus - ""Antoinette Perry Award for Excellence in Theatre"".
            "," Angela Lansbury
, Peter Ustinov
, George Abbott
, David Atkinson
, Pearl Bailey
, Martin Balsam
, Anne Bancroft
, Michael Bennett
, Jack Benny
, Shirley Booth
, Zoe Caldwell
, Art Carney
, Diahann Carroll
, Trudy Carson
, Gower Champion
",English,"[' Family', ' ', None, None, None]",English, National Broadcasting Company (NBC), National Broadcasting Company (NBC)
8,8.4,Vladimir Horowitz: A Television Concert at Carnegie Hall (1968) - IMDb,"
                    Vladimir Horowitz's first television concert.
            "," Vladimir Horowitz
",English,"[' Music', ' ', None, None, None]",English, CBS,
,,Lincoln Center/Stage 5 (TV Series 1967– ) - IMDb,"
                    "," Leon Bibb
, Carmen De Lavallade
, Mildred Dunnock
, Sondra Lee
, Fern MacLarnon
, Buzz Miller
, Lawrence Rhodes
, Brunilda Ruiz
",English,"[' Music', None, None, None, None]",English,IMDbPro,
91,8.0,Frank Sinatra: A Man and His Music + Ella + Jobim (1967) - IMDb,"
                    A truly memorable television event, the third annual special finds Frank joined by the dazzling Ella Fitzgerald in an historic pairing of the two preeminent vocal talents of the era.
            "," Frank Sinatra
, Ella Fitzgerald
, Antonio Carlos Jobim
",English,"[' Music', None, None, None, None]",English,IMDbPro,
"7,280",8.6,MisteRogers Neighborhood (TV Series 1968–2001) - IMDb,"
                    Fred Rogers explores various topics for young viewers through presentations and music, both in his world and in the Neighborhood of Make-Believe.
            "," Fred Rogers
, Betty Aberlin
, David Newell
",USA,"[' Family', ' ', ' Music', None, None]",USA, Family Communications,"Pittsburgh, Pennsylvania, USA"
49,7.2,Carousel (TV Movie 1967) - IMDb,"
                    In a Maine coastal village toward the end of the 19th century, the swaggering, carefree carnival barker, Billy Bigelow, captivates and marries the naive millworker, Julie Jordan. Billy ...
                    "," Robert Goulet
, Mary Grover
, Pernell Roberts
, Marlyn Mason
, Charles Ruggles
, Michael F. Blake
, Jack DeLon
, Linda Howe
, Patricia Neway
, Marge Redmond
, Jim Taylor
",English,"[' Musical', ' ', None, None, None]",English, Armstrong Circle Theatre,
143,6.6,Uncle Vanya (1963) - IMDb,"
                    Retired Professor Alexander Serebryakov has returned to his estate to live with his beautiful young wife, Yelena. The estate originally belonged to his first wife, now deceased. Her mother ...
                    "," Michael Redgrave
, Robert Lang
, Max Adrian
, Lewis Casson
, Fay Compton
, Rosemary Harris
, Laurence Olivier
, Joan Plowright
, Sybil Thorndike
",English,"[' Drama', ' ', None, None, None]",English, Arthur Cantor Films,
490,6.8,The Strange Case of Dr. Jekyll and Mr. Hyde (TV Movie 1968) - IMDb,"
                    Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.
            "," Jack Palance
, Denholm Elliott
, Leo Genn
, Torin Thatcher
, Rex Sevenoaks
, Gillie Fenwick
, Elizabeth Cole
, Duncan Lamont
, Paul Harding
, Oskar Homolka
, Tessie O'Shea
, Jeanette Landis
, Liza Creighton
, Billie Whitelaw
, Donald Webster
",English,"[' Sci-Fi', ' Horror', ' Drama', ' Thriller', None]",English, Canadian Broadcasting Corporation (CBC),
,,Luther (TV Movie 1968) - IMDb,"
                    An epic drama of the 16th Century Catholic monk Martin Luther who started the Reformation.
            "," Robert Shaw
, Robert Morley
, Max Adrian
, Ronald Fraser
, Kenneth J. Warren
, Bernard Kay
, Frank Middlemass
, William Marlowe
, Reginald Barratt
, Yootha Joyce
, John Byron
, Alexander Davion
, Andre Van Gyseghem
",English,"[' Drama', None, None, None, None]",English, American Broadcasting Company (ABC), American Broadcasting Company (ABC)
,,The Flying Fisherman (TV Series 1964– ) - IMDb,"
                    "," Gadabout Gaddis
, Beverly Wallace
",English,"[' Sport', None, None, None, None]",English, G.G. Communications Inc., G.G. Communications Inc.
101,8.3,Firing Line (TV Series 1966–2020) - IMDb,"
                    A debate program hosted by conservative pundit William F. Buckley who verbally sparred with many notable figures of the 20th century.
            "," William F. Buckley
, Margaret Hoover
",USA,"[' Talk-Show', ' ', None, None, None]",USA, Community Television of Southern California,
"2,223",7.2,The Lucy Show (TV Series 1962–1968) - IMDb,"
                    The wacky misadventures of a forever-scheming woman, her reluctant best friend, and her cantankerous boss.
            "," Lucille Ball
, Gale Gordon
, Vivian Vance
",English,"[' Comedy', ' ', None, None, None]",English, Desilu Productions,
69,6.5,ABC's College Football (TV Series 2001– ) - IMDb,"
                    "," Bob Toledo
, Jim Tressel
",English,"[' Sport', ' ', None, None, None]",English, ABC Sports,
26,8.1,The American Sportsman (TV Series 1965– ) - IMDb,"
                    One of the first hunting and fishing shows with celebrity guests. It aired on ABC on Sundays. The show would visit locations in the USA and Canada.
            "," Curt Gowdy
, Jack Hemingway
, Cheryl Tiegs
, William Conrad
, Robert Duvall
, Margaux Hemingway
, Peter Beard
, Peter Benchley
",English,"[' Sport', ' ', None, None, None]",English, American Broadcasting Company (ABC) Sports, American Broadcasting Company (ABC) Sports
34,7.5,The Bob Hope Christmas Special (1968) - IMDb,"
                    Bob Hope entertains our troops at his annual USO tour of Southeast Asian military bases.
            "," Bob Hope
, Raquel Welch
, Barbara McNair
, Elaine Dunn
, Madeleine Hartog-Bel
, Phillip Crosby
, Earl Wilson
, Les Brown and His Band of Renown
, Les Brown
",English,"[' Comedy', ' ', None, None, None]",English, Hope Enterprises,
,,Herb Alpert and the Tijuana Brass (1967) - IMDb,"
                    "," Herb Alpert
, Nick Ceroli
, Bob Edmondson
, Tonni Kalash
, Lou Pagani
, John Pisano
, Pat Senatore
",English,"[' Music', None, None, None, None]",English,IMDbPro,
36,6.9,Elizabeth the Queen (TV Movie 1968) - IMDb,"
                    In the sixteenth century, Queen Elizabeth I (Dame Judith Anderson) is the ruler of England. Robert Devereux, 3rd Earl of Essex (Charlton Heston) is her lover, best friend, and worst enemy.
            "," Judith Anderson
, Charlton Heston
, Michael Allinson
, Alan Caillou
, Jody Carter
, Peter Church
, Dana Elcar
, Lynn Harper
, Harvey Jason
, Donald Marlatt
, Anne Rogers
, Gilchrist Stuart
, Harry Townes
, Lee Vines
, Herb Voland
",English,"[' Biography', ' ', None, None, None]",English, Compass Productions,
,,10th Winter Olympic Games (TV Mini-Series 1968– ) - IMDb,"
                    "," Reinhold Bachler
, Lyudmila Belousova
, Vladimir Belussov
, Fernande Bochatay
, Dick Button
, Emmerich Danzer
, Jean-Daniel Dätwyler
, Annie Famose
, Willy Favre
, Peggy Fleming
, Marielle Goitschel
, Curt Gowdy
, Nancy Greene
, Lars Grini
, Toini Gustafsson
",,"[' Sport', None, None, None, None]",See more, ABC Sports, ABC Sports
"1,653",7.7,The High Chaparral (TV Series 1967–1971) - IMDb,"
                    The Cannon family runs the High Chaparral Ranch in the Arizona Territory in 1870s.
            "," Leif Erickson
, Cameron Mitchell
, Henry Darrow
, Linda Cristal
, Mark Slade
, Don Collier
, Bob Hoy
, Roberto Contreras
",USA,"[' Western', ' ', None, None, None]",USA, NBC Productions,"Apacheland Studios - 4369 S. Kings Ranch Road, Gold Canyon, Arizona, USA"
"1,661",7.6,It Takes a Thief (TV Series 1968–1970) - IMDb,"
                    The adventures of suave cat burglar Alexander Mundy, who plies his trade for the U.S. Government.
            "," Robert Wagner
, Malachi Throne
",English,"[' Action', ' ', ' Crime', ' Drama', None]",English, Universal Television,
9,8.8,The Fred Astaire Show (1968) - IMDb,"
                    Ten years after the award winning ""An Evening With..."" Astaire shows us his ""hip"" credentials in this paen to the flower power era,larking about with the likes of Simon & Garfunkel, The ...
                    "," Fred Astaire
, Brasil '66
, Barrie Chase
, Art Garfunkel
, The Gordian Knot
, Sergio Mendes
, Sergio Mendes & Brasil '66
, Paul Simon
, The Young Holt Trio
",English,"[' Musical', None, None, None, None]",English, Ava Productions,
112,6.0,Alice in Wonderland or What's a Nice Kid Like You Doing in a Place Like This? (TV Movie 1966) - IMDb,"
                    Alice needs to do her homework but she ends up in televisionland where she meets characters from Alice in Wonderland and some Hanna-Barbera cartoons.
            "," Sammy Davis Jr.
, Zsa Zsa Gabor
, Bill Dana
, Howard Morris
, Janet Waldo
, Hedda Hopper
, Alan Reed
, Mel Blanc
, Harvey Korman
, Allan Melvin
, Daws Butler
, Doris Drew
, Don Messick
",English," Animation, , Musical, Comedy, Fantasy",English, Hanna-Barbera Productions,
,,Danny Thomas' The Wonderful World of Burlesque: Second Edition (1965) - IMDb,"
                    This second Danny Thomas tribute to burlesque features Lucille Ball, Jerry Lewis and Shirley Jones in a sketch about two down-on-their-luck guys (Thomas and Lewis) taking two dolls (Jones ...
                    "," Danny Thomas
, Jerry Lewis
, Shirley Jones
, The Frank DeVol Orchestra
, Lucille Ball
, Carole Cook
, Jimmy Durante
, Sheldon Leonard
",English,"['papermoon4', None, None, None, None]",English,IMDbPro,
,,An Evening with Carol Channing (1966) - IMDb,"
                    "," Carol Channing
, David McCallum
, George Burns
, Parley Baer
, Christopher Riordan
",English,"[' Comedy', ' ', None, None, None]",English, Charles Lowe Productions,
,,Festival of Arts (TV Series 1962– ) - IMDb,"
                    "," Luther Adler
, John Alexander
, Richard Bonynge
, Carolyn Coates
, Marilyn Horne
, Urho Kekkonen
, José Limon
, Kaija Mahlamäki
, Terry McEwen
, Cambridge Festival Orchestra
, Joan Sutherland
, William Ball
, Erich Leinsdorf
",English,"[' Drama', None, None, None, None]",English,IMDbPro,
,,The Strolling '20s (TV Movie 1966) - IMDb,"
                    "," Harry Belafonte
, Diahann Carroll
, Sammy Davis Jr.
, Duke Ellington
, George Kirby
, Gloria Lynne
, Brownie McGhee
, Sidney Poitier
, Nipsey Russell
, Joe Williams
",English,"[' Music', None, None, None, None]",English,IMDbPro,
37,6.9,Linus! The Lion Hearted (TV Series 1964– ) - IMDb,"
                    Linus the Lion is the kind-hearted King of a jungle populated by such bizarre characters as the crabby Sascha Grouse and the vivacious Dinny Kangaroo. Each episode of this series features ...
                    "," Carl Reiner
, Sheldon Leonard
, Bob McFadden
, Gerry Matthews
, Ruth Buzzi
, Jerry Stiller
, Anne Meara
, Jesse White
, Jonathan Winters
",English,"[' Animation', ' Comedy', None, None, None]",English, CBS,
25,6.8,Francis Albert Sinatra Does His Thing (1968) - IMDb,"
                    Francis Albert Sinatra Does His Thing opens with no introduction, just Sinatra and his microphone. He is joined by the stunning Diahann Carroll and together they sing a spiritual medley of ...
                    "," Frank Sinatra
, Diahann Carroll
, The 5th Dimension
, Billy Davis Jr.
, Florence LaRue
, Marilyn McCoo
, LaMonte McLemore
",English,"[' Music', None, None, None, None]",English, Sinatra Enterprises, Sinatra Enterprises
,,The Bolshoi Ballet (TV Mini-Series 1965– ) - IMDb,"
                    "," Agnes de Mille
, Yekaterina Maksimova
, Vladimir Vasiliev
",English,"[' ', None, None, None, None]",English, Skiatron,
,,The Bill Cosby Special (1968) - IMDb,"
                    "," Bill Cosby
, Eddie Hanley
, Sheldon Leonard
, Janice Robinson
",English,"[' Comedy', ' ', None, None, None]",English, National Broadcasting Company (NBC), National Broadcasting Company (NBC)
18,9.0,The Beat of the Brass (1968) - IMDb,"
                    "," Herb Alpert
, Herb Alpert & The Tijuana Brass
, John Pisano
",English,"[' Music', None, None, None, None]",English, David L. Wolper Productions, David L. Wolper Productions
199,8.2,A Happening in Central Park (1968) - IMDb,"
                    Barbara Streisand's live concert taped before an appreciative audience of 150,000 fans in New York City's Central Park.
            "," Barbra Streisand
",English,"[' Documentary', ' ', None, None, None]",English,IMDbPro,
876,7.4,The F.B.I. (TV Series 1965–1974) - IMDb,"
                    The cases of the U.S. Federal Bureau of Investigation.
            "," Efrem Zimbalist Jr.
, Philip Abbott
, William Reynolds
",English,"[' Crime', ' ', ' Mystery', None, None]",English, Quinn Martin Productions (QM),
13,6.2,"The Story of Babar, the Little Elephant (TV Short 1968) - IMDb","
                    "," Peter Ustinov
, Loulie Jean Norman
, Sally Stevens
, B.J. Baker
, Gene Merlino
, Robert Tebow
",English,"[' Animation', ' Short', None, None, None]",English, Lee Mendelson Film Productions, Lee Mendelson Film Productions
664,6.4,A Midsummer Night's Dream (1968) - IMDb,"
                    The adventures of four young lovers, a group of amateur actors and their interactions with fairies come to light in a moonlit forest.
            "," Derek Godfrey
, Barbara Jefford
, Nicholas Selby
, Hugh Sullivan
, David Warner
, Diana Rigg
, Michael Jayston
, Helen Mirren
, Paul Rogers
, Sebastian Shaw
, Bill Travers
, Clive Swift
, Donald Eccles
, John Normington
, Ian Richardson
",English,"[' Comedy', ' ', ' Romance', None, None]",English, Filmways Pictures,
,,"""The Bell Telephone Hour"" Man Who Dances: Edward Villella (TV Episode 1968) - IMDb","
                    "," Melissa Hayden
, Patricia McBride
, Don Morrow
, Paul Newman
, Bill Roberts
, Janet Roberts
, Edward Villella
, Janet Villella
, Joanne Woodward
",,"[' Music', None, None, None, None]",See more, Drew Associates, Drew Associates
61,8.6,"""Theatre 625"" Talking to a Stranger (TV Episode 1966) - IMDb","
                    A grown-up brother and sister's visit to their parents home culminates in a shocking tragedy. The events of the weekend are told over four episodes, each focusing on the point of view of ...
                    "," Windsor Davies
, Gaynor Jones
, Keith Kent
, Terry Leigh
, Ann Mitchell
, Frederick Pyne
, Barry Stanton
, Maryann Turner
",English,"[' Drama', None, None, None, None]",English, British Broadcasting Corporation (BBC), British Broadcasting Corporation (BBC)
472,7.7,Julia (TV Series 1968–1971) - IMDb,"
                    Julia Baker is a young African-American woman working as a nurse. She is also a widow (her husband died in Vietnam) trying to raise a young son alone.
            "," Diahann Carroll
, Lloyd Nolan
, Marc Copage
, Michael Link
, Betty Beaird
, Lurene Tuttle
",English,"[' Comedy', ' ', None, None, None]",English, 20th Century Fox Television,
,,Frank McGee Report (TV Series 1965–1970) - IMDb,"
                    A Sunday night news round-up program, featuring Frank McGee.
            "," Frank McGee
",English,"[' News', None, None, None, None]",English, National Broadcasting Company (NBC),
5,6.0,Issues and Answers (TV Series 1960–1981) - IMDb,"
                    An interview program featuring prominent people in the news.
            "," Howard K. Smith
",English,"[' News', ' ', None, None, None]",English, ABC News, ABC News
,,ABC Weekend News (TV Series 1968–1991) - IMDb,"
                    A late-night summary of the news from the proceeding week.
            "," Bill Beutel
, Sam Donaldson
, Ron Miller
, Marlene Sanders
, Bill Zimmerman
",English,"[' News', None, None, None, None]",English, ABC News, ABC News
269,7.7,Law and Order (TV Movie 1969) - IMDb,"
                    Also known as The Greater Good, this series of vignettes focuses on the day-to-day work of Kansas City, Missouri police covers the range of circumstances they encounter and the variety of ...
                    "," Richard Nixon
",USA,"[' Documentary', ' ', None, None, None]",USA, Osti Films,"Kansas City, Missouri, USA"
,,Hemingway's Spain: A Love Affair (TV Movie 1968) - IMDb,"
                    "," Estelle Parsons
, Jason Robards
, Rod Steiger
",English,"[' Documentary', None, None, None, None]",English, David L. Wolper Productions, David L. Wolper Productions
