rating_total,rating_avg,finalist,movie_description,cast,language,style,country,company,film_location
64,7.2,Later with Bob Costas (TV Series 1988–1993) - IMDb,"
                    ""Later with Bob Costas"" has a plot the same way ""The Tonight Show"" has a plot. Special guests are interviewed by ________. In the case of ""Later ..."", the guests were being interviewed by -...
                    "," Bob Costas
",English,"[' Talk-Show', ' ', None, None, None]",English, NBC Productions,
52,7.1,Tattinger's (TV Series 1988– ) - IMDb,"
                    Nick Tattinger runs a restaurant in New York City assisted by Sheila Bradey, the chef; Sid Wilbur, the maitre d'; Lou Chatham the head waiter; Marco Bellini the bartender; and Billie Low, ...
                    "," Stephen Collins
, Blythe Danner
, Jerry Stiller
, Roderick Cook
, Patrice Colihan
, Mary Beth Hurt
, Zach Grenier
, Chay Lentin
, Yusef Bulos
, Suzee Pai
",English,"[' Comedy', ' ', None, None, None]",English, MTM Enterprises,
54,7.8,Love Is a Many Splendored Thing (TV Series 1967–1973) - IMDb,"
                    A sort of sequel to the 1955 movie, ""Love Is a Many Splendored Thing"" first involved Mia Elliot, a Korean immigrant who fell in love with Paul Bradley and Dr. Jim Abbott. These interracial ...
                    "," Leslie Charleson
, Robert Burr
, Donna Mills
",English,"[' Drama', ' ', None, None, None]",English,IMDbPro,
174,7.5,Insight (TV Series 1960–1984) - IMDb,"
                    American Roman Catholic religious-themed anthology shedding light on the contemporary search for meaning, freedom, and love.
            "," Ellwood Kieser
",USA,"[' Drama', ' ', None, None, None]",USA, Paulist Productions,"CBS Television City - 7800 Beverly Boulevard, Fairfax, Los Angeles, California, USA"
733,7.4,"Play It Again, Charlie Brown (TV Short 1971) - IMDb","
                    Lucy talks Schroeder into playing his piano for a PTA meeting. but there are unforeseen details that he will not tolerate.
            "," Pamelyn Ferdin
, Stephen Shea
, Danny Hjeim
, Hilary Momberger-Powers
, Lynda Mendelson
, Christopher DeFaria
, Chris Inglis
",USA,"[' Animation', ' ', ' Comedy', ' Family', None]",USA, Lee Mendelson Film Productions,
100,8.8,The Search for the Nile (TV Mini-Series 1971– ) - IMDb,"
                    The Nile's source was the last great mystery for European explorers in the 19th century. The story of its discovery is one of heroism in the service of faith, greed, and obsession.
            "," Kenneth Haigh
, James Mason
, John Quentin
, Barbara Leigh-Hunt
, Andre Van Gyseghem
, Seth Adagala
, Michael Gough
, Ian McCulloch
",English,"[' Adventure', ' Drama', None, None, None]",English, British Broadcasting Corporation (BBC),
74,7.3,Thief (TV Movie 1971) - IMDb,"
                    A professional thief tries to break with his past but has to pull off one last job to pay off a gambling debt.
            "," Richard Crenna
, Angie Dickinson
, Cameron Mitchell
, Hurd Hatfield
, Robert Webber
, Bruce Kirby
, Michael Lerner
, Michael C. Gwynne
, Mary Gregory
, Ed Peck
, Barbara Perry
, Richard Stahl
, Jo de Winter
, Hunter von Leer
",English,"[' Crime', ' ', None, None, None]",English, Metromedia Productions,
33,5.6,"Goodbye, Raggedy Ann (TV Movie 1971) - IMDb","
                    Hollywood writer tries to talk a dejected actress out of suicide.
            "," Mia Farrow
, Hal Holbrook
, John Colicos
, Marlene Warfield
, Ed Flanders
, Martin Sheen
, Walter Koenig
, Marguerita Chan
, Maxine Stuart
, Barbara Daitch
, Tony Di Milo
, Buck Kartalian
, Nora Marlowe
, Toni Gilman
, Pam Dixon
",English,"[' Drama', ' ', None, None, None]",English, Metromedia Productions,
179,8.7,The French Chef (TV Series 1962–1973) - IMDb,"
                    Julia Child teaches the art of French cooking.
            "," Julia Child
",English,"[' Documentary', ' ', ' Family', ' Reality-TV', None]",English, WGBH,
"2,490",6.6,All My Children (TV Series 1970–2011) - IMDb,"
                    Set in the fictional East Coast suburb Pine Valley, this show is the decades-old, risk-taking soap that centers around Erica Kane (Susan Lucci) and her long line of husbands.
            "," Susan Lucci
, David Canary
, Michael E. Knight
, Cameron Mathison
, Alicia Minshew
, Walt Willey
, Eileen Herlie
, Jacob Young
, James Mitchell
, Jill Larson
, Thorsten Kaye
, Melissa Claire Egan
, Ray MacDonnell
, Rebecca Budig
, Julia Barr
, Vincent Irizarry
, Bobbie Eakes
",English,"[' Drama', ' Romance', ' Mystery', None, None]",English, American Broadcasting Company (ABC),
9,9.1,Acts of Love and Other Comedies (TV Movie 1973) - IMDb,"
                    A funny anthology featuring various sketches about people having trouble with love and sex.
            "," Marlo Thomas
, Jean Stapleton
, Art Garfunkel
, Rae Allen
, Joseph Bologna
, Stephanie Braxton
, Ron Carey
, Bill Lazarus
, Christine Parks
, Peggy Pope
, Michael Vale
, Gene Wilder
",English,"[' Comedy', ' ', None, None, None]",English, Daisy Productions, Daisy Productions
809,6.8,Another World (TV Series 1964–1999) - IMDb,"
                    The life in the Midwestern town of Bay City, and the love, loss, trials, and triumph of its residents, who come from different backgrounds and social circles.
            "," Victoria Wyndham
, Constance Ford
, Hugh Marlowe
, Beverlee McKinsey
, Stephen Schnetzer
, Linda Dano
",English,"[' Drama', ' Romance', None, None, None]",English, National Broadcasting Company (NBC),
110,8.2,Once Upon a Mattress (TV Movie 1972) - IMDb,"
                    A musical comedy variation of the classic ""Princess and the Pea"" story. This is a television recreation of the successful Broadway show of the same name also starring Carol Burnett in the title role.
            "," Carol Burnett
, Ken Berry
, Jack Gilford
, Jane White
, Bernadette Peters
, Wally Cox
, Ron Husmann
, Sivi Aberg
, Billy Beck
, Nora Denney
, Sid Kane
, Lyle Waggoner
",English,"[' Comedy', ' ', ' Musical', ' Romance', None]",English,IMDbPro,
99,7.9,Hawkins (TV Series 1973–1974) - IMDb,"
                    The cases of slow-talking West Virginia attorney Billy Jim Hawkins.
            "," James Stewart
, Strother Martin
, Mayf Nutter
, James Hampton
, Suzanne Hunt
",English,"[' Crime', ' ', ' Mystery', None, None]",English, Arena Productions,
6,7.5,The Lily Tomlin Show (1973) - IMDb,"
                    The Lily Tomlin special showcases Tomlin's most iconic characters, Ma Belle's Ernestine, the prim tasteful Lady, the grimy little kid Edith Ann, and a new creation, Bobbi Jeanine, a hammy cocktail lounge organist talking in song titles.
            "," Lily Tomlin
, Richard Crenna
, Nancy Dussault
, Bill Gerber
, Richard Pryor
",English,"[' Comedy', ' ', None, None, None]",English, Sullivan Productions,
617,8.2,The House Without a Christmas Tree (TV Movie 1972) - IMDb,"
                    In 1946 Nebraska, a young girl named Addie desperately craves a Christmas tree, but her bitter widower father refuses because of events from the family's past.
            "," Jason Robards
, Mildred Natwick
, Lisa Lucas
, Kathryn Walker
, Alexa Kenin
, Murray Westgate
, Maya Kenin
, Brady McNamara
, Gail Dunsome
",USA,"[' Drama', ' ', None, None, None]",USA, CBS Television Network,"Uxbridge, Ontario, Canada"
107,7.3,Applause (TV Movie 1973) - IMDb,"
                    An aspiring actress, whose sugar-coated appearance belies her ruthless drive, worms herself into the life of an aging star and schemes to replace her on the stage as the star of a new play.
            "," Lauren Bacall
, Larry Hagman
, Penny Fuller
, Sarah Marshall
, Robert Mandan
, Harvey Evans
, Rod McLennan
, Debbie Bowen
, Bob Sherman
, David Knight
, James Berwick
",English,"[' Comedy', ' ', None, None, None]",English, Nederlander Television & Film Productions,
70,8.2,"""ITV Sunday Night Theatre"" Long Day's Journey Into Night (TV Episode 1973) - IMDb","
                    On a day in the summer of 1912, the family of retired matinee idol James Tyrone grapples with the morphine addiction of Tyrone's wife Mary, the illness of their youngest son Edmund, and the...
                    "," Laurence Olivier
, Constance Cummings
, Denis Quilley
, Ronald Pickup
, Maureen Lipman
",English,"[' Drama', ' ', None, None, None]",English, National Theatre of Great Britain Production, National Theatre of Great Britain Production
620,7.6,Jeopardy! (TV Series 1964–1975) - IMDb,"
                    A quiz competition in which contestants are presented with general knowledge clues in the form of answers and must phrase their responses in the form of questions.
            "," Art Fleming
, Don Pardo
",USA,"[' Game-Show', ' ', None, None, None]",USA, Jeopardy Productions,"Studio 8G, NBC Studios - 30 Rockefeller Plaza, Manhattan, New York City, New York, USA"
125,7.0,A War of Children (TV Movie 1972) - IMDb,"
                    Two families in Belfast, one Protestant and one Catholic, find that their long-standing friendship is threatened by the escalating sectarian violence that surrounds them.
            "," Vivien Merchant
, Jenny Agutter
, John Ronane
, Anthony Andrews
, Oliver Maguire
, Aideen O'Kelly
, Danny Figgis
, David G. Meredith
, Patrick Dawson
, Cathleen Delany
, Maura Keeley
, Arthur O'Sullivan
, Des Nealon
, Pat Laffan
, Conor Evans
",English,"[' Drama', ' ', None, None, None]",English, Tomorrow Entertainment,
187,7.3,The Last of the Mohicans (TV Mini-Series 1971) - IMDb,"
                    Three trappers protect a British colonel's daughters in the midst of the French and Indian War.
            "," Andrew Crawford
, Tim Goodman
, Kenneth Ives
, John Abineri
, Richard Warwick
, Patricia Maynard
, Joanna David
, Philip Madoc
, Bill Wiesener
, David Leland
, Michael Cullen
, Ken Barker
, Hilary Minster
, James Snell
",English,"[' Adventure', ' ', ' War', ' Western', None]",English, British Broadcasting Corporation (BBC),
341,8.2,The Life of Leonardo Da Vinci (TV Mini-Series 1971) - IMDb,"
                    Miniseries dramatizing the life of the Italian Renaissance genius Leonardo da Vinci (1452-1519).
            "," Philippe Leroy
, Giulio Bosetti
, Bruno Piergentili
, Giampiero Albertini
, Luigi Tasca
, Carlo Simoni
, Nino Dal Fabbro
, Marco Bonetti
, Maria Marchi
, Riad Gholmie
, Rate Furlan
, Renato Montalbano
, Ann Odessa
, Diego Della Valle
, Carlos de Carvalho
, Renzo Rossi
, Giuseppe Scarcella
, Sara Franchetti
",Italian,"[' Biography', ' ', None, None, None]",Italian, RAI Radiotelevisione Italiana,
298,6.8,Password (TV Series 1961–1975) - IMDb,"
                    Two celebrity-contestant teams compete to guess words by giving one-word clues in this all-time classic game show.
            "," Allen Ludden
",English,"[' Game-Show', ' ', None, None, None]",English, Mark Goodson-Bill Todman Productions,
91,8.5,America (TV Series 1972–1973) - IMDb,"
                    An account of the birth and development of the United States.
            "," Alistair Cooke
",English,"[' Documentary', ' History', None, None, None]",English, British Broadcasting Corporation (BBC),
132,8.1,Tom Brown's Schooldays (TV Mini-Series 1971) - IMDb,"
                    Tom Brown, as a new boy at Rugby Public School, has to contend with the school's harsh discipline and accepted bullying from the older boys. Adaptation of Thomas Hughes' novel.
            "," Iain Cuthbertson
, Simon Fisher-Turner
, Richard Morant
, Anthony Murphy
, Richard Gibson
, David Hampshire
, Christopher Moran
, Mark Rogers
, Barry Stokes
, Sean Bury
, Simon Conrad
, Geoffrey Edwards
, Gerald Flood
, Christopher Guard
, Davyd Harries
, Valerie Holliman
, Mark Jefferis
, Robin Langford
, Dan Meaden
, Edward Palmer
",English,"[' Drama', ' ', None, None, None]",English, British Broadcasting Corporation (BBC),
5,4.4,Burt Bacharach in Shangri-La (1973) - IMDb,"
                    A musical special promoting the then-upcoming release of the 1973 musical version of ""Lost Horizon"".
            "," Burt Bacharach
, Billy Davis Jr.
, Chris Evert
, Richard Harris
, The Jaime Rogers Dancer
, Florence LaRue
, Marilyn McCoo
, LaMonte McLemore
, Ron Townson
, Bobby Van
",English,"[' Music', None, None, None, None]",English, Smith-Hemion Productions, Smith-Hemion Productions
,,Apollo 17: Splashdown (1972) - IMDb,"
                    "," Eugene Cernan
, Ronald Evans
, Harrison Schmitt
",English,"[' News', ' ', None, None, None]",English,IMDbPro,
,,Love is... Barbara Eden (TV Movie 1972) - IMDb,"
                    The subject is Love and Barbara Eden is the star of an hour of song, comedy, and romance looking at the many kinds of Love in music.
            "," Barbara Eden
, Robert Goulet
, Tim Conway
, Charley Pride
, The Ray Charles Singers
",English,"[' Music', ' Comedy', None, None, None]",English,IMDbPro,
"2,588",6.7,Cannon (TV Series 1971–1976) - IMDb,"
                    Frank Cannon is an overweight, balding ex-cop with a deep voice and expensive tastes in culinary pleasures; he becomes a high-priced private investigator.
            "," William Conrad
",USA,"[' Action', ' ', ' Drama', ' Mystery', None]",USA, Quinn Martin Productions (QM),"Sunset Tower, 8358 Sunset Blvd, Los Angeles, California, USA"
,,The TV Comedy Years (TV Movie 1973) - IMDb,"
                    Hosted by Ed Sullivan. A 90-minute program reviewing television comedy over the past 25 years. The show deals with comedians and comedy shows from Berle to Bunker.
            "," Ed Sullivan
, Milton Berle
, Red Buttons
, Sid Caesar
, Carroll O'Connor
, Martha Raye
, Lon Satton
, Phil Silvers
, Flip Wilson
",English,"[' Comedy', None, None, None, None]",English, Sullivan Productions,
506,5.6,NBC Nightly News with Lester Holt (TV Series 1970– ) - IMDb,"
                    This is the flagship nightly news program on NBC.
            "," Lester Holt
, Miguel Almaguer
, Tom Costello
, Gabe Gutierrez
",USA,"[' News', ' ', None, None, None]",USA, NBC News,
27,8.3,Super Bowl VII (1973) - IMDb,"
                    "," George Allen
, Dick Anderson
, Mike Bass
, Tommy Bell
, Verlon Biggs
, Mike Bragg
, Marlin Briscoe
, Larry Brown
, Nick Buoniconti
, Larry Csonka
, Vern Den Herder
, Al DeRogatis
, Norm Evans
, Manny Fernandez
, Pat Fischer
",English,"[' Sport', ' ', None, None, None]",English, Miami Dolphins,
27,7.3,Munich 1972: Games of the XX Olympiad (TV Mini-Series 1972– ) - IMDb,"
                    An international multi-sport event held in Munich.
            "," Valeri Borzov
, Avery Brundage
, Kornelia Ender
, Shane Gould
, Ilona Gusenbauer
, Keith Jackson
, Olga Korbut
, Liselott Linsenhoff
, Janis Lusis
, Roland Matthes
, Jim McKay
, Ulrike Meyfarth
, Cathy Rigby
, Heide Rosendahl
, Heidi Schüller
",English,"[' Sport', ' ', None, None, None]",English, ABC Sports,
,,Duty Bound (TV Movie 1973) - IMDb,"
                    Audience is asked to act as a jury to find a draft dodger guilty or innocent of avoiding military service in Vietnam.
            "," Ben Masters
, Tricia O'Neil
, Lenka Peterson
, Earl Rowe
, M'el Dowd
, Bill Moor
, Tanny McDonald
, Liam Sullivan
, Roy Cooper
",English,"[' Drama', ' ', None, None, None]",English, Television Religious Programs Unit for NBC, Television Religious Programs Unit for NBC
91,8.8,The Wacky World of Jonathan Winters (TV Series 1972–1974) - IMDb,"
                    Improvised sketches by Jonathan Winters with guests augmenting the show.
            "," Jonathan Winters
",English,"[' Comedy', ' ', None, None, None]",English, Time-Life Television Productions, Time-Life Television Productions
468,8.0,The Marcus-Nelson Murders (TV Movie 1973) - IMDb,"
                    A homicide detective begins to suspect that the black teenager accused of murdering two white girls is being framed by his fellow detectives.
            "," Telly Savalas
, Marjoe Gortner
, José Ferrer
, Ned Beatty
, Allen Garfield
, Lorraine Gary
, Roger Robinson
, Harriet Karr
, Gene Woodbury
, William Watson
, Val Bisoglio
, Antonia Rey
, Chita Rivera
, Bruce Kirby
, Robert Walden
",English,"[' Crime', ' ', None, None, None]",English, Universal Studios,
"2,551",6.2,Gargoyles (TV Movie 1972) - IMDb,"
                    An anthropologist/paleontologist and his daughter, while travelling through the southwestern U.S., stumble upon a colony of living, breathing gargoyles.
            "," Cornel Wilde
, Jennifer Salt
, Grayson Hall
, Bernie Casey
, Scott Glenn
, William Stevens
, John Gruber
, Woody Chambliss
, Jim Connell
, Timothy Burns
, Mickey Alzola
, Greg Walker
, Rock A. Walker
",English,"[' Horror', ' ', None, None, None]",English, Tomorrow Entertainment,
43,6.5,A Brand New Life (TV Movie 1973) - IMDb,"
                    After 18 years of marriage, a middle-aged couple has to face the prospect of having their first child.
            "," Cloris Leachman
, Martin Balsam
, Marge Redmond
, Gene Nelson
, Mildred Dunnock
, Wilfrid Hyde-White
, Karen Philipp
, Lloyd Battista
, Barbara Colby
, Hunter von Leer
, Amy Robinson
, Elizabeth Hanover
, Marcy Carney
, Dee Gregory
, Dick Kay Hong
",English,"[' Drama', ' ', None, None, None]",English, Tomorrow Entertainment,
76,7.2,The Wide World of Mystery (TV Series 1973– ) - IMDb,"
                    A 90 minute late-night mystery and suspense anthology series which ran on ABC (American Broadcasting Company), between 1973 and 1978.
            "," John Karlen
, Joel Fabiani
, Philip Carey
, Peter Coffield
, Robert Foxworth
, Michael Parks
, Susan Strasberg
, Bo Svenson
, Philip Bourneuf
, Robert Gentry
, Heidi Vaughn
, Mariette Hartley
, Jon Lormer
, George Morgan
, William Hansen
, Brian Avery
, Willie Aames
, Rosella Olsen
, Edgar Daniels
, Malila Saint Duval
, Edgar Justice
, Peter Haskell
, Laurence Luckinbill
, Gary Merrill
, Bradford Dillman
, Robin Strasser
, Susan Sarandon
, Charles Dierkop
, Heather MacRae
, Sharon Farrell
, Moses Gunn
, Charles Aidman
, Anne Francis
, Susan Dury
, Charles Macaulay
, Nita Talbot
, Lynda Day George
, Barton Heyman
, Leslie Charleson
, Lee Kroeger
, Robert Symonds
",English,"[' Drama', ' ', ' Mystery', ' Sci-Fi', None]",English,IMDbPro,
595,7.1,Medical Center (TV Series 1969–1976) - IMDb,"
                    Located in the Los Angeles, California area, Medical Center was an otherwise unnamed hospital complex that was part of a large university campus. Dr. Paul Lochner (James Daly) was the chief...
                    "," James Daly
, Chad Everett
, Chris Hutson
",English,"[' Drama', ' ', None, None, None]",English, MGM Television,
73,6.7,The 44th Annual Academy Awards (1972) - IMDb,"
                    Award of the American academy of cinematographic arts and sciences, from 1940th known as ""Oscar"", - American film award created in 1929 and traditionally handed to the figures of ...
                    "," Ann-Margret
, Desi Arnaz Jr.
, Karen Black
, Yvonne Blake
, Peter Bogdanovich
, Timothy Bottoms
, Jeff Bridges
, Red Buttons
, James Caan
, Frank Capra
, Leslie Caron
, The Carpenters
, Richard Chamberlain
, Charles Chaplin
, Paddy Chayefsky
",English,"[' News', ' ', None, None, None]",English, Academy of Motion Picture Arts and Sciences (AMPAS),
356,7.7,That Certain Summer (TV Movie 1972) - IMDb,"
                    Teenager Nick Salter visits his divorced father Doug and meets Dad's new friend Gary McLain. But Doug enjoys Gary's company more than the company of women. Nick must then learn to deal with Doug's homosexuality.
            "," Hal Holbrook
, Martin Sheen
, Joe Don Baker
, Marlyn Mason
, Scott Jacoby
, Hope Lange
, James McEachin
, Clarke Gordon
, Jan Shepard
, Carolyn Bueno
, Myron Natwick
, Patti MacLeod
",English,"[' Drama', ' ', None, None, None]",English, Universal Television,
378,7.1,The Mike Douglas Show (TV Series 1961–1982) - IMDb,"
                    "," Mike Douglas
",USA,"[' Comedy', ' ', ' Talk-Show', None, None]",USA, Westinghouse Broadcasting Company,"Cleveland, Ohio, USA"
201,6.9,Short Walk to Daylight (TV Movie 1972) - IMDb,"
                    Eight people are trapped in a New York City subway after an earthquake, and try to find their way out.
            "," James Brolin
, Don Mitchell
, James McEachin
, Abbey Lincoln
, Brooke Bundy
, Lázaro Pérez
, Suzanne Charny
, Laurette Spang
, Franklin Cover
",English,"[' Drama', ' ', None, None, None]",English, Universal Television,
