,finalist,year,winner_Nominee,item_award,award_description
47,Uma Thurman,2005,Nominee,OFCS Award,Best Actress
48,Uma Thurman,2006,Winner,Knight of the Order of Arts and Letters,
49,Uma Thurman,2007,Nominee,People's Choice Award,Favorite Female Action Star
50,Uma Thurman,1999,Nominee,Razzie Award,Worst Actress
51,Uma Thurman,2014,Nominee,Georges Award,Best Foreign Actress of the Decade
52,Uma Thurman,2005,Nominee,Golden Satellite Award,"Best Actress in a Motion Picture, Drama"
53,Uma Thurman,2003,Nominee,Actor,Outstanding Performance by a Female Actor in a Television Movie or Miniseries
54,Uma Thurman,2014,Winner,Achievement Award,
55,Uma Thurman,2004,Nominee,Teen Choice Award,Choice Movie Actress - Drama/Action Adventure
56,Uma Thurman,1998,Nominee,Stinker Award,Worst On-Screen Couple
57,Uma Thurman,2014,Nominee,VVFP Award,Best Supporting Actress
58,Uma Thurman,2014,Winner,Mommie Dearest Worst Screen Mom of the Year Award,
59,Uma Thurman,2009,Nominee,WIN Award,Outstanding Actress Mini-Series / Made for Television Movie
60,Andrea Allen,2012,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
61,Imelda Staunton,2005,Nominee,Oscar,Best Performance by an Actress in a Leading Role
62,Imelda Staunton,2005,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
63,Imelda Staunton,2013,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
64,Imelda Staunton,2015,Nominee,BAFTA Film Award,Best Supporting Actress
65,Imelda Staunton,2010,Nominee,Movies for Grownups Award,Best Grownup Love Story
66,Imelda Staunton,2008,Nominee,Saturn Award,Best Supporting Actress
67,Imelda Staunton,2013,Nominee,Annie,Voice Acting in an Animated Feature Production
68,Imelda Staunton,2004,Nominee,ACCA,Best Actress in a Leading Role
69,Imelda Staunton,2013,Nominee,BTVA Feature Film Voice Acting Award,Best Female Vocal Performance in a Feature Film
70,Imelda Staunton,2014,Winner,British Independent Film Award,Best Supporting Actress
71,Imelda Staunton,2005,Nominee,Critics Choice Award,Best Actress
72,Imelda Staunton,2009,Winner,Audience Award,Best Actress - Comedy
73,Imelda Staunton,2004,Winner,CFCA Award,Best Actress
74,Imelda Staunton,2015,Nominee,Chlotrudis Award,Best Supporting Actress
75,Imelda Staunton,2020,Nominee,CinEuphoria,Best Ensemble - International Competition
76,Imelda Staunton,1987,Winner,Clarence Derwent Award,Best supporting Female (UK)
77,Imelda Staunton,2013,Nominee,Critics' Choice TV Award,Best Supporting Actress in a Movie/Miniseries
78,Imelda Staunton,2005,Nominee,DFWFCA Award,Best Actress
79,Imelda Staunton,2005,Nominee,Empire Award,Best British Actress
80,Imelda Staunton,2004,Winner,European Film Award,European Actress
81,Imelda Staunton,2005,Winner,Evening Standard British Film Award,Best Actress
82,Imelda Staunton,2005,Nominee,Gold Derby Award,Lead Actress
83,Imelda Staunton,2006,Nominee,Emmy,Best Performance by an Actress
84,Imelda Staunton,2005,Nominee,INOCA,Best Actress
85,Imelda Staunton,2005,Winner,IFC Award,Best Actress
86,Imelda Staunton,2000,Nominee,IFTA Award,Best Actress
87,Imelda Staunton,2005,Nominee,IOMA,Best Actress (Miglior attrice protagonista)
88,Imelda Staunton,2008,Nominee,ALFS Award,British Supporting Actress of the Year
89,Imelda Staunton,2004,Winner,LAFCA Award,Best Actress
90,Imelda Staunton,2005,Winner,NSFC Award,Best Actress
91,Imelda Staunton,2004,Winner,NYFCC Award,Best Actress
92,Imelda Staunton,2004,Winner,NYFCO Award,Best Actress
93,Imelda Staunton,2013,Nominee,OFTA Television Award,Best Supporting Actress in a Motion Picture or Miniseries
94,Imelda Staunton,2005,Nominee,OFCS Award,Best Actress
95,Imelda Staunton,2010,Nominee,SDFCS Award,Best Ensemble Performance
96,Imelda Staunton,2005,Nominee,Golden Satellite Award,"Best Actress in a Motion Picture, Drama"
97,Imelda Staunton,2005,Nominee,Actor,Outstanding Performance by a Female Actor in a Leading Role
98,Imelda Staunton,2004,Winner,Seattle Film Critics Award,Best Actress
99,Imelda Staunton,2006,Winner,Audience Award,Best Foreign Actress (Melhor Atriz Estrangeira)
100,Imelda Staunton,2004,Nominee,SEFCA Award,Best Actress
101,Imelda Staunton,2004,Winner,TFCA Award,"Best Performance, Female"
102,Imelda Staunton,2004,Nominee,UFCA Award,Best Actress
103,Imelda Staunton,2005,Winner,VFCC Award,Best Actress
104,Imelda Staunton,2004,Winner,Volpi Cup,Best Actress
105,Imelda Staunton,2004,Winner,VVFP Award,Best Performance
106,Imelda Staunton,2004,Winner,WAFCA Award,Best Actress
107,Imelda Staunton,2004,Winner,WFCC Award,Best Actress
108,Lisa Hsia,2013,Nominee,Primetime Emmy,Outstanding Special Class - Short-Format Nonfiction Programs
109,Lisa Hsia,2001,Nominee,Emmy,Outstanding Coverage of a Breaking News Story - Segments
110,Punam Patel,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
111,Jessica Hecht,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
112,Jessica Hecht,2009,Winner,Special Jury Award,Best Ensemble Acting
113,Sarah Paulson,2017,Winner,Golden Globe,Best Performance by an Actress in a Limited Series or Motion Picture Made for Television
114,Sarah Paulson,2018,Nominee,Primetime Emmy,Outstanding Lead Actress in a Limited Series or Movie
115,Sarah Paulson,2018,Nominee,Saturn Award,Best Actress on Television
116,Sarah Paulson,2016,Nominee,ACCA TV,Best Actress in a TV Movie or Miniseries
117,Sarah Paulson,2013,Winner,BFCC Award,Best Ensemble
118,Sarah Paulson,2016,Nominee,Critics' Choice TV Award,Best Supporting Actress in a Movie Made for Television or Limited Series
119,Sarah Paulson,2017,Nominee,Chainsaw Award,Best TV Supporting Actress
120,Sarah Paulson,2014,Winner,Robert Altman Award,
121,Sarah Paulson,2019,Nominee,Fright Meter Award,Best Supporting Actress
122,Sarah Paulson,2017,Winner,Dorian Award,TV Performance of the Year - Actress
123,Sarah Paulson,2020,Nominee,Gold Derby Award,Ensemble of the Decade
124,Sarah Paulson,2011,Nominee,Gotham Independent Film Award,Best Ensemble Performance
125,Sarah Paulson,2016,Nominee,IGN Award,Best TV Actress
126,Sarah Paulson,2016,Nominee,iHorror Award,Best Female Performance - Horror Series
127,Sarah Paulson,2014,Nominee,Golden Nymph,Outstanding Actress in a Mini-Series
128,Sarah Paulson,2014,Nominee,NCFCA Award,Best Supporting Actress
129,Sarah Paulson,2018,Nominee,OFTA Film Award,Best Ensemble
130,Sarah Paulson,2019,Nominee,People's Choice Award,Favorite Drama Movie Star
131,Sarah Paulson,2013,Nominee,PFCS Award,Best Acting Ensemble
132,Sarah Paulson,2017,Winner,Satellite Award,Best Actress in a Miniseries or a Motion Picture Made for Television
133,Sarah Paulson,2017,Winner,Actor,Outstanding Performance by a Female Actor in a Television Movie or Limited Series
134,Sarah Paulson,2014,Nominee,Seattle Film Critics Award,Best Ensemble Cast
135,Sarah Paulson,2016,Winner,TCA Award,Individual Achievement in Drama
136,Sarah Paulson,2019,Winner,Queerty,Love is Great
137,Charlotte Rampling,2016,Nominee,Oscar,Best Performance by an Actress in a Leading Role
138,Charlotte Rampling,2017,Nominee,Golden Globe,Best Performance by an Actress in a Limited Series or Motion Picture Made for Television
139,Charlotte Rampling,2013,Nominee,Primetime Emmy,Outstanding Supporting Actress in a Miniseries or a Movie
140,Charlotte Rampling,2016,Nominee,Movies for Grownups Award,Best Actress
141,Charlotte Rampling,2014,Nominee,Saturn Award,Best Guest Performance in a Television Series
142,Charlotte Rampling,2016,Winner,EDA Special Mention Award,Actress Defying Age and Ageism
143,Charlotte Rampling,2012,Nominee,AACTA Award,Best Lead Actress
144,Charlotte Rampling,2012,Nominee,AFCA Award,Best Actress
145,Charlotte Rampling,2019,Winner,Honorary Golden Berlin Bear,
146,Charlotte Rampling,2012,Nominee,Bodil,Best Supporting Actress (Bedste kvindelige birolle)
147,Charlotte Rampling,2015,Winner,BSFC Award,Best Actress
148,Charlotte Rampling,2015,Nominee,British Independent Film Award,Best Actress
149,Charlotte Rampling,2016,Nominee,Critics Choice Award,Best Actress
150,Charlotte Rampling,2015,Nominee,CFCA Award,Best Actress
151,Charlotte Rampling,2016,Nominee,Chlotrudis Award,Best Actress
152,Charlotte Rampling,2001,Winner,Special Recognition,
153,Charlotte Rampling,2006,Nominee,César,Best Supporting Actress (Meilleure actrice dans un second rôle)
154,Charlotte Rampling,2015,Nominee,DFWFCA Award,Best Actress
155,Charlotte Rampling,2018,Winner,Dublin Film Critics Award,Best Actress
156,Charlotte Rampling,2015,Winner,Best Performance in a British Feature Film,
157,Charlotte Rampling,2015,Winner,Lifetime Achievement Award,
158,Charlotte Rampling,2016,Nominee,Evening Standard British Film Award,Best Actress
159,Charlotte Rampling,1988,Winner,International Fantasy Film Award,Best Actress
160,Charlotte Rampling,2019,Nominee,Golden Carp Film Award - International,Best Performance by an Actress in a Leading Role
161,Charlotte Rampling,2015,Nominee,FFCC Award,Best Actress
162,Charlotte Rampling,2016,Nominee,Dorian Award,Film Performance of the Year - Actress
163,Charlotte Rampling,2016,Nominee,GAFCA Award,Best Actress
164,Charlotte Rampling,2016,Nominee,Gold Derby Award,Lead Actress
165,Charlotte Rampling,2010,Nominee,Gotham Independent Film Award,Best Ensemble Performance
166,Charlotte Rampling,2015,Nominee,IFJA Award,Best Actress
167,Charlotte Rampling,2015,Winner,ICP Award,Best Lead Actress
168,Charlotte Rampling,2016,Nominee,ICS Award,Best Actress
169,Charlotte Rampling,2016,Nominee,INOCA,Best Actress
170,Charlotte Rampling,2016,Nominee,IFC Award,Best Actress
171,Charlotte Rampling,2016,Nominee,IFTA Award,Best International Actress
172,Charlotte Rampling,1987,Winner,Joseph Plateau Award,Best Belgian Actress
173,Charlotte Rampling,2012,Winner,Excellence Award,
174,Charlotte Rampling,2016,Winner,ALFS Award,Actress of the Year
175,Charlotte Rampling,2015,Winner,LAFCA Award,Best Actress
176,Charlotte Rampling,2016,Winner,NSFC Award,Best Actress
177,Charlotte Rampling,2016,Nominee,NCFCA Award,Best Actress
178,Charlotte Rampling,2016,Nominee,OFTA Film Award,Best Actress
179,Charlotte Rampling,2015,Nominee,OFCS Award,Best Actress
180,Charlotte Rampling,2015,Nominee,SDFCS Award,Best Actress
181,Charlotte Rampling,2015,Nominee,SFFCC Award,Best Actress
182,Charlotte Rampling,2016,Nominee,Sant Jordi,Best Actress in a Foreign Film (Mejor Actriz en Película Extranjera)
183,Charlotte Rampling,2016,Nominee,Satellite Award,Best Actress in a Motion Picture
184,Charlotte Rampling,2013,Nominee,Actor,Outstanding Performance by a Female Actor in a Television Movie or Miniseries
185,Charlotte Rampling,2003,Nominee,Seattle Film Critics Award,Best Actress
186,Charlotte Rampling,2008,Winner,Lifetime Achievement Award,
187,Charlotte Rampling,2005,Winner,Taormina Arte Award,
188,Charlotte Rampling,2005,Winner,Silver Medallion Award,
189,Charlotte Rampling,2015,Winner,Best Actress,
190,Charlotte Rampling,2017,Winner,Volpi Cup,Best Actress
191,Charlotte Rampling,2015,Winner,VVFP Award,Best Actress
192,Charlotte Rampling,2015,Winner,WFCC Award,Best Screen Couple
193,Charlotte Rampling,2015,Winner,WFTV Award,Best Performance
194,Rosamund Pike,2015,Nominee,Oscar,Best Performance by an Actress in a Leading Role
195,Rosamund Pike,2019,Nominee,Golden Globe,Best Performance by an Actress in a Motion Picture - Drama
196,Rosamund Pike,2019,Winner,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
197,Rosamund Pike,2015,Nominee,BAFTA Film Award,Best Leading Actress
198,Rosamund Pike,2015,Nominee,AACTA International Award,Best Lead Actress
199,Rosamund Pike,2018,Nominee,Saturn Award,Best Actress
200,Rosamund Pike,2015,Nominee,EDA Award,Best Actress
201,Ryan O'Connell,2019,Nominee,Primetime Emmy,Outstanding Short Form Comedy or Drama Series
202,Ryan O'Connell,2020,Winner,WGA Award (TV),Short Form New Media Original
203,Ilana Glazer,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
204,Ilana Glazer,2015,Nominee,Critics' Choice TV Award,Best Actress in a Comedy Series
205,Ilana Glazer,2010,Winner,Judge's Award - July,
206,Rosamund Pike,2014,Winner,AFCA Award,Best Actress
207,Rosamund Pike,2014,Winner,ACCA,Best Actress in a Leading Role
208,Rosamund Pike,2010,Nominee,British Independent Film Award,Best Supporting Actress
209,Rosamund Pike,2015,Nominee,Critics Choice Award,Best Actress
210,Rosamund Pike,2015,Nominee,COFCA Award,Best Actress
211,Rosamund Pike,2014,Nominee,CFCA Award,Best Actress
212,Rosamund Pike,2015,Winner,Cinema Bloggers Award,Best Actress - International Competition
213,Rosamund Pike,2015,Nominee,CinEuphoria,Best Actress - International Competition
214,Rosamund Pike,2015,Winner,CCOP,Best Actress (Melhor Atriz)
215,Rosamund Pike,2014,Nominee,DFWFCA Award,Best Actress
216,Rosamund Pike,2015,Winner,DFCS Award,Best Actress
217,Rosamund Pike,2014,Winner,DFCS Award,Best Actress
218,Abbi Jacobson,2019,Nominee,Primetime Emmy,Outstanding Actress in a Short Form Comedy or Drama Series
219,Abbi Jacobson,2010,Winner,Judge's Award - July,
220,Abbi Jacobson,2017,Nominee,MTV Movie + TV Award,Best Comedic Performance
221,Abbi Jacobson,2016,Nominee,WGA Award (TV),Comedy Series
222,Ilana Glazer,2017,Nominee,MTV Movie + TV Award,Best Comedic Performance
223,Ilana Glazer,2016,Nominee,WGA Award (TV),Comedy Series
224,Rosamund Pike,2014,Nominee,DFCC,Best Actress
225,Rosamund Pike,2015,Winner,Empire Award,Best Actress
226,Rosamund Pike,2014,Winner,Lost Weekend Award,Best Actress
227,Rosamund Pike,2014,Winner,FFCC Award,Best Actress
228,Rosamund Pike,2015,Nominee,Dorian Award,Film Performance of the Year - Actress
229,Rosamund Pike,2011,Nominee,Genie,Best Performance by an Actress in a Leading Role
230,Rosamund Pike,2015,Nominee,GAFCA Award,Best Actress
231,Rosamund Pike,2020,Nominee,Gold Derby Award,Lead Actress of the Decade
232,Rosamund Pike,2014,Winner,Golden Schmoes,Best Actress of the Year
233,Rosamund Pike,2014,Nominee,IFJA Award,Best Actress
234,Rosamund Pike,2014,Nominee,ICP Award,Best Lead Actress
235,Rosamund Pike,2015,Nominee,INOCA,Best Actress
236,Rosamund Pike,2015,Nominee,IOFCP Award,Best Actress in a Leading Role
237,Rosamund Pike,2015,Nominee,IFC Award,Best Actress
238,Rosamund Pike,2014,Winner,KCFCC Award,Best Actress
239,Rosamund Pike,2015,Winner,ALFS Award,British Actress of the Year
240,Rosamund Pike,2015,Nominee,MTV Movie Award,Best Scared-As-S**t Performance
241,Rosamund Pike,2014,Winner,NFCS Award,Best Actress
242,Rosamund Pike,2015,Nominee,NCFCA Award,Best Actress
243,Rosamund Pike,2018,Nominee,NTFCA Award,Best Actress
244,Rosamund Pike,2015,Winner,OFCC Award,Best Actress
245,Rosamund Pike,2015,Nominee,OFTA Film Award,Best Actress
246,Rosamund Pike,2014,Winner,OFCS Award,Best Actress
247,Rosamund Pike,2015,Winner,Breakthrough Performance Award,
248,Rosamund Pike,2014,Nominee,PCC Award,Best Actress
249,Rosamund Pike,2014,Winner,PFCS Award,Best Actress in a Leading Role
250,Rosamund Pike,2015,Nominee,Georges Award,Best Foreign Villain of the Year
251,Rosamund Pike,2014,Nominee,SDFCS Award,Best Actress
252,Rosamund Pike,2015,Winner,Sant Jordi,Best Foreign Actress (Mejor Actriz Extranjera)
253,Rosamund Pike,2015,Winner,Virtuoso Award,
254,Rosamund Pike,2019,Nominee,Satellite Award,"Best Actress in a Motion Picture, Drama"
255,Rosamund Pike,2015,Nominee,Actor,Outstanding Performance by a Female Actor in a Leading Role
256,Rosamund Pike,2015,Winner,Seattle Film Critics Award,Best Actress
257,Rosamund Pike,2014,Winner,SLFCA Award,Best Actress
258,Rosamund Pike,2014,Winner,UFCA Award,Best Actress
259,Rosamund Pike,2014,Nominee,VVFP Award,Best Actress
260,Rosamund Pike,2014,Nominee,WAFCA Award,Best Actress
261,Rosamund Pike,2020,Nominee,WIN Award,Actress Comedy Series
262,Patton Oswalt,2020,Nominee,Primetime Emmy,Outstanding Writing for a Variety Special
263,Patton Oswalt,2014,Nominee,American Comedy Award,Comedy Special of the Year
264,Patton Oswalt,2008,Nominee,Annie,Best Voice Acting in an Animated Feature Production
265,Patton Oswalt,2016,Nominee,BTVA Television Voice Acting Award,Best Vocal Ensemble in a Television Series
266,Patton Oswalt,2012,Nominee,Critics Choice Award,Best Supporting Actor
267,Patton Oswalt,2012,Nominee,COFCA Award,Best Supporting Actor
268,Patton Oswalt,2011,Nominee,CFCA Award,Best Supporting Actor
269,Patton Oswalt,2020,Winner,CinEuphoria,Merit - Honorary Award
270,Patton Oswalt,2013,Winner,Critics' Choice TV Award,Best Guest Performer in a Comedy Series
271,Patton Oswalt,2011,Nominee,DFCS Award,Best Supporting Actor
272,Patton Oswalt,2020,Winner,Fall Award,Best Voice Over Performance
273,Patton Oswalt,2020,Nominee,Jury Prize,Best Actor
274,Patton Oswalt,2013,Nominee,Gold Derby TV Award,Comedy Guest Actor
275,Patton Oswalt,2009,Nominee,Gotham Independent Film Award,Breakthrough Actor
276,Patton Oswalt,2019,Nominee,Grammy,Best Comedy Album
277,Patton Oswalt,2011,Nominee,LAFCA Award,Best Supporting Actor
278,Patton Oswalt,2012,Nominee,NSFC Award,Best Supporting Actor
279,Patton Oswalt,2013,Nominee,OFTA Television Award,Best Guest Actor in a Drama Series
280,Patton Oswalt,2012,Winner,Chairman's Vanguard Award,
281,Patton Oswalt,2012,Winner,Virtuoso Award,
282,Patton Oswalt,2009,Nominee,SLFCA Award,Best Actor
283,Patton Oswalt,2011,Nominee,TFCA Award,Best Supporting Actor
284,Patton Oswalt,2011,Nominee,VVFP Award,Best Supporting Actor
285,Patton Oswalt,2016,Winner,Honorary Membership,
286,Patton Oswalt,2015,Nominee,WGA Award (TV),"Comedy/Variety - Music, Awards, Tributes - Specials"
287,Chris Cooper,2003,Winner,Oscar,Best Actor in a Supporting Role
288,Chris Cooper,2003,Winner,Golden Globe,Best Performance by an Actor in a Supporting Role in a Motion Picture
289,Chris Cooper,2003,Nominee,Primetime Emmy,Outstanding Supporting Actor in a Miniseries or a Movie
290,Chris Cooper,2003,Nominee,BAFTA Film Award,Best Performance by an Actor in a Supporting Role
291,Chris Cooper,2014,Winner,Movies for Grownups Award,Best Supporting Actor
292,Chris Cooper,2015,Winner,Extraordinary Contribution to Filmmaking Award,
293,Chris Cooper,2005,Nominee,ACCA,Best Cast Ensemble
294,Chris Cooper,2003,Winner,Critics Choice Award,Best Supporting Actor
295,Chris Cooper,2013,Winner,Capri Lifetime Achievement Award,
296,Chris Cooper,2003,Winner,COFCA Award,Best Supporting Actor
297,Chris Cooper,2003,Nominee,CFCA Award,Best Supporting Actor
298,Chris Cooper,2003,Winner,Audience Award,Best Supporting Actor
299,Chris Cooper,2010,Nominee,DFWFCA Award,Best Supporting Actor
300,Chris Cooper,2003,Nominee,DVDX Award,Best Supporting Actor in a DVD Premiere Movie
301,Chris Cooper,1997,Nominee,Independent Spirit Award,Best Male Lead
302,Chris Cooper,2003,Winner,FFCC Award,Best Supporting Actor
303,Chris Cooper,2020,Nominee,Gold Derby Award,Ensemble Cast
304,Chris Cooper,2002,Nominee,Golden Schmoes,Best Supporting Actor of the Year
305,Chris Cooper,2013,Winner,Hollywood Film Award,Ensemble of the Year
306,Chris Cooper,2003,Winner,INOCA,Best Supporting Actor
307,Chris Cooper,2003,Nominee,IOMA,Best Supporting Actor (Miglior attore non protagonista)
308,Chris Cooper,2002,Winner,KCFCC Award,Best Supporting Actor
309,Chris Cooper,2002,Nominee,Sierra Award,Best Supporting Actor
310,Chris Cooper,1996,Winner,Lone Star Film & Television Award,Best Actor
311,Chris Cooper,2002,Winner,LAFCA Award,Best Supporting Actor
312,Chris Cooper,2010,Winner,NBR Award,Best Acting by an Ensemble
313,Chris Cooper,2003,Nominee,NSFC Award,Best Supporting Actor
314,Chris Cooper,2013,Winner,NFCS Award,Best Ensemble Cast
315,Chris Cooper,2002,Nominee,NYFCC Award,Best Supporting Actor
316,Chris Cooper,2020,Nominee,OFTA Film Award,Best Ensemble
317,Chris Cooper,2003,Nominee,OFCS Award,Best Supporting Actor
318,Chris Cooper,2013,Nominee,PFCS Award,Best Acting Ensemble
319,Chris Cooper,2002,Winner,SDFCS Award,Best Supporting Actor
320,Chris Cooper,2002,Winner,SFFCC Award,Best Supporting Actor
321,Chris Cooper,2004,Winner,Peter J. Owens Award,
322,Chris Cooper,2005,Nominee,Satellite Award,"Outstanding Actor in a Supporting Role, Drama"
323,Chris Cooper,2014,Nominee,Actor,Outstanding Performance by a Cast in a Motion Picture
324,Chris Cooper,2014,Nominee,Seattle Film Critics Award,Best Ensemble Cast
325,Chris Cooper,2002,Winner,SEFCA Award,Best Supporting Actor
326,Chris Cooper,1999,Nominee,Teen Choice Award,Film - Choice Sleazebag
327,Chris Cooper,2002,Winner,TFCA Award,"Best Supporting Performance, Male"
328,Chris Cooper,2002,Winner,UFCA Award,Best Supporting Actor
329,Chris Cooper,2003,Winner,VFCC Award,Best Supporting Actor
330,Chris Cooper,2007,Nominee,VVFP Award,Best Actor
331,Chris Cooper,2013,Nominee,WAFCA Award,Best Acting Ensemble
332,Chris Cooper,1992,Winner,Bronze Wrangler,Theatrical Motion Picture
333,James Whitmore,1976,Nominee,Oscar,Best Actor in a Leading Role
334,James Whitmore,1976,Nominee,Golden Globe,Best Actor in a Motion Picture - Drama
335,James Whitmore,2003,Nominee,Primetime Emmy,Outstanding Guest Actor in a Drama Series
336,James Whitmore,1994,Nominee,ACCA,Best Cast Ensemble
337,James Whitmore,1990,Winner,ACE,Supporting Actor in a Movie or Miniseries
338,James Whitmore,2001,Nominee,Genie,Best Performance by an Actor in a Leading Role
339,James Whitmore,1976,Winner,Grammy,Best Spoken Word Album
340,James Whitmore,2000,Nominee,OFTA Television Award,Best Guest Actor in a Drama Series
341,James Whitmore,1960,Winner,Star on the Walk of Fame,Television
342,James Whitmore,1976,Winner,Bronze Wrangler,Factual Television Program
343,Ed Begley Jr.,1986,Nominee,Golden Globe,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television"
344,Ed Begley Jr.,2019,Nominee,Primetime Emmy,Outstanding Actor in a Short Form Comedy or Drama Series
345,Ed Begley Jr.,2014,Nominee,EMA Award,Digital Video
346,Ed Begley Jr.,2004,Winner,FFCC Award,Best Ensemble Cast
347,Ed Begley Jr.,2004,Nominee,Gold Derby Award,Ensemble Cast
348,Danny Thomas,1971,Nominee,Golden Globe,Best TV Actor - Comedy or Musical
349,Ed Begley Jr.,2004,Nominee,PFCS Award,Best Ensemble Acting
350,Ed Begley Jr.,2010,Winner,Streamy Award,Best Ensemble Cast in a Web Series
351,Danny Thomas,2004,Winner,Bob Hope Humanitarian Award,
352,Danny Thomas,1970,Winner,Louella Parsons Award,
353,Danny Thomas,2019,Winner,OFTA TV Hall of Fame,Behind the Scenes
354,Danny Thomas,2007,Winner,TV Land Award,"The ""Hey! It's...!"" Award (Favorite Cameo or Guest Star)"
355,Danny Thomas,1960,Winner,Star on the Walk of Fame,Television
356,Tovah Feldshuh,2003,Nominee,Primetime Emmy,Outstanding Guest Actress in a Drama Series
357,Tovah Feldshuh,2016,Nominee,Saturn Award,Best Supporting Actress on Television
358,Tovah Feldshuh,2020,Winner,CinEuphoria,Merit - Honorary Award
359,Tovah Feldshuh,2005,Winner,Best Supporting Actress,Feature Film
360,Tovah Feldshuh,2019,Nominee,NYC Web Fest Award,Special Guest Star
361,Tovah Feldshuh,2003,Winner,Golden Satellite Award,"Best Actress in a Supporting Role, Comedy or Musical"
362,Tovah Feldshuh,2006,Nominee,Stinker Award,Most Annoying Fake Accent: Female
363,Betty Garrett,1975,Winner,Golden Globe,Best Supporting Actress - Television
364,Betty Garrett,2003,Nominee,Primetime Emmy,Outstanding Guest Actress in a Comedy Series
365,Betty Garrett,2003,Winner,Star on the Walk of Fame,Live Performance
366,Barbara Barrie,1980,Nominee,Oscar,Best Actress in a Supporting Role
